"sf__Id","sf__Error","Name","NPSP_ID__c","UUID__c","ProgramId","BenefitTypeId","IsActive","BenefitStatus","CPT_Code__c","Default_Disbursement_Quantity__c","Default_Duration_c__c","Housing_Capacity__c","Is_a_Housing_Benefit__c","Spots_Currently_Filled__c","Available_for_Housing__c","Available_for_Program_Engagement__c","Available_for_Case_Management__c","Available_for_Clinical__c","Available_for_Peer__c","Lifecycle_State__c"
"","MISSING_ARGUMENT:NPSP_ID__c not specified:--","BIPOC Support","","","11WVY000000GC6r2AG","0jhVY000000001sYAA","true","Active","","1.0","60.0","","false","","true","false","true","true","true","Active"
"","MISSING_ARGUMENT:NPSP_ID__c not specified:--","BIPOC Support","","","11WVY000000GC6r2AG","0jhVY000000001eYAA","false","Active","","1.0","60.0","","false","","false","false","true","true","true","Replaced"
"","MISSING_ARGUMENT:NPSP_ID__c not specified:--","BIPOC Support","","","11WVY000000GC3d2AG","0jhVY000000001eYAA","true","Active","","1.0","60.0","","false","","false","false","true","true","true",""
"","MISSING_ARGUMENT:NPSP_ID__c not specified:--","Case Management Meeting","","","11WVY000000GC3d2AG","0jhVY000000001dYAA","false","Active","","1.0","60.0","","false","","false","false","true","true","false",""
"","MISSING_ARGUMENT:NPSP_ID__c not specified:--","Case Management Meeting","","","11WVY000000GC6r2AG","0jhVY000000001dYAA","false","Active","","1.0","60.0","","false","","false","false","false","false","false",""
"","MISSING_ARGUMENT:NPSP_ID__c not specified:--","Community Resource Navigation","","","11WVY000000GC3d2AG","0jhVY000000001sYAA","true","Active","","1.0","60.0","","false","","false","false","true","false","true",""
"","MISSING_ARGUMENT:NPSP_ID__c not specified:--","Community Resource Navigation","","","11WVY000000GC6r2AG","0jhVY000000001sYAA","false","Active","","1.0","60.0","","false","","false","false","true","false","true","Replaced"
"","MISSING_ARGUMENT:NPSP_ID__c not specified:--","Community Resource Navigation","","","11WVY000000GC6r2AG","0jhVY000000001dYAA","true","Active","","1.0","60.0","","false","","true","false","true","false","true","Active"
"","MISSING_ARGUMENT:NPSP_ID__c not specified:--","Conflict Resolution Support","","","11WVY000000GC6r2AG","0jhVY000000001sYAA","true","Active","","1.0","60.0","","false","","true","false","true","true","true",""
"","MISSING_ARGUMENT:NPSP_ID__c not specified:--","Conflict Resolution Support","","","11WVY000000GC3d2AG","0jhVY000000001sYAA","true","Active","","1.0","60.0","","false","","false","false","true","true","true",""
"","MISSING_ARGUMENT:NPSP_ID__c not specified:--","Education","","","11WVY000000GC3d2AG","0jhVY000000001fYAA","true","Active","","1.0","60.0","","false","","false","false","true","false","false",""
"","MISSING_ARGUMENT:NPSP_ID__c not specified:--","Education","","","11WVY000000GC6r2AG","0jhVY000000001fYAA","false","Active","","1.0","60.0","","false","","false","false","true","false","false","Replaced"
"","MISSING_ARGUMENT:NPSP_ID__c not specified:--","Education Support","","","11WVY000000GC6r2AG","0jhVY000000001dYAA","true","Active","","1.0","60.0","","false","","true","false","true","false","false","Active"
"","MISSING_ARGUMENT:NPSP_ID__c not specified:--","Education Support","","","11WVY000000GC3d2AG","0jhVY000000001fYAA","true","Active","","1.0","60.0","","false","","false","false","true","false","false",""
"","MISSING_ARGUMENT:NPSP_ID__c not specified:--","Education Support","","","11WVY000000GC6r2AG","0jhVY000000001fYAA","false","Active","","1.0","60.0","","false","","false","false","true","false","false","Replaced"
"","MISSING_ARGUMENT:NPSP_ID__c not specified:--","Emotional Processing","","","11WVY000000GC6r2AG","0jhVY000000001sYAA","true","Active","","1.0","60.0","","false","","true","false","true","true","true",""
"","MISSING_ARGUMENT:NPSP_ID__c not specified:--","Emotional Processing","","","11WVY000000GC3d2AG","0jhVY000000001sYAA","true","Active","","1.0","60.0","","false","","false","false","true","true","true",""
"","MISSING_ARGUMENT:NPSP_ID__c not specified:--","Employment Support","","","11WVY000000GC6r2AG","0jhVY000000001dYAA","true","Active","","1.0","60.0","","false","","true","false","true","false","true","Active"
"","MISSING_ARGUMENT:NPSP_ID__c not specified:--","Employment Support","","","11WVY000000GC6r2AG","0jhVY000000001gYAA","false","Active","","1.0","60.0","","false","","false","false","true","false","true","Replaced"
"","MISSING_ARGUMENT:NPSP_ID__c not specified:--","Employment Support","","","11WVY000000GC3d2AG","0jhVY000000001gYAA","true","Active","","1.0","60.0","","false","","false","false","true","false","true",""
"","MISSING_ARGUMENT:NPSP_ID__c not specified:--","Eviction/ Mutual Rescission Support","","","11WVY000000GC6r2AG","0jhVY000000001lYAA","false","Active","","1.0","60.0","","false","","false","false","true","false","false","Replaced"
"","MISSING_ARGUMENT:NPSP_ID__c not specified:--","Eviction/ Mutual Rescission Support","","","11WVY000000GC3d2AG","0jhVY000000001lYAA","true","Active","","1.0","60.0","","false","","false","false","true","false","false",""
"","MISSING_ARGUMENT:NPSP_ID__c not specified:--","External Medical Provider","","","11WVY000000GC3d2AG","0jhVY000000001dYAA","true","Active","","1.0","60.0","","false","","false","false","true","false","false",""
"","MISSING_ARGUMENT:NPSP_ID__c not specified:--","External Medical Provider","","","11WVY000000GC6r2AG","0jhVY000000001dYAA","false","Active","","1.0","60.0","","false","","false","false","true","false","false","Replaced"
"","MISSING_ARGUMENT:NPSP_ID__c not specified:--","External Professional Team","","","11WVY000000GC3d2AG","0jhVY000000001dYAA","true","Active","","1.0","60.0","","false","","false","false","true","false","false",""
"","MISSING_ARGUMENT:NPSP_ID__c not specified:--","External Professional Team","","","11WVY000000GC6r2AG","0jhVY000000001dYAA","false","Active","","1.0","60.0","","false","","false","false","true","false","false","Replaced"
"","MISSING_ARGUMENT:NPSP_ID__c not specified:--","External Therapy Provider","","","11WVY000000GC6r2AG","0jhVY000000001dYAA","false","Active","","1.0","60.0","","false","","true","true","true","true","false","Replaced"
"","MISSING_ARGUMENT:NPSP_ID__c not specified:--","External Therapy Provider","","","11WVY000000GC3d2AG","0jhVY000000001dYAA","true","Active","","1.0","60.0","","false","","false","false","true","true","false",""
"","MISSING_ARGUMENT:NPSP_ID__c not specified:--","Family Reunification Support","","","11WVY000000GC6r2AG","0jhVY000000001sYAA","false","Active","","1.0","60.0","","false","","false","false","true","false","false","Replaced"
"","MISSING_ARGUMENT:NPSP_ID__c not specified:--","Family Reunification Support","","","11WVY000000GC3d2AG","0jhVY000000001sYAA","true","Active","","1.0","60.0","","false","","false","false","true","false","false",""
"","MISSING_ARGUMENT:NPSP_ID__c not specified:--","Financial Education and Navigation","","","11WVY000000GC3d2AG","0jhVY000000001fYAA","true","Active","","1.0","60.0","","false","","false","false","true","false","false",""
"","MISSING_ARGUMENT:NPSP_ID__c not specified:--","Financial Education and Navigation","","","11WVY000000GC6r2AG","0jhVY000000001fYAA","false","Active","","1.0","60.0","","false","","false","false","true","false","false","Replaced"
"","MISSING_ARGUMENT:NPSP_ID__c not specified:--","Financial Education and Navigation","","","11WVY000000GC6r2AG","0jhVY000000001dYAA","true","Active","","1.0","60.0","","false","","true","false","true","false","false","Active"
"","MISSING_ARGUMENT:NPSP_ID__c not specified:--","GED Group","","","11WVY000000GC3d2AG","0jhVY000000001fYAA","true","Active","","1.0","60.0","","false","","false","false","true","true","true",""
"","MISSING_ARGUMENT:NPSP_ID__c not specified:--","GED Group","","","11WVY000000GC6r2AG","0jhVY000000001fYAA","false","Active","","1.0","60.0","","false","","false","false","true","true","true","Replaced"
"","MISSING_ARGUMENT:NPSP_ID__c not specified:--","Group Support","","","11WVY000000GC3d2AG","0jhVY000000001oYAA","true","Active","","1.0","60.0","","false","","false","false","false","true","false",""
"","MISSING_ARGUMENT:NPSP_ID__c not specified:--","Group Support","","","11WVY000000GC6r2AG","0jhVY000000001oYAA","false","Active","","1.0","60.0","","false","","false","false","false","true","false","Replaced"
"","MISSING_ARGUMENT:NPSP_ID__c not specified:--","Group Support","","","11WVY000000GC6r2AG","0jhVY000000001eYAA","true","Active","","1.0","60.0","","false","","true","false","false","true","false","Active"
"","MISSING_ARGUMENT:NPSP_ID__c not specified:--","Housekeeping","","","11WVY000000GC3d2AG","0jhVY000000001lYAA","true","Active","","1.0","60.0","","false","","false","false","true","false","true",""
"","MISSING_ARGUMENT:NPSP_ID__c not specified:--","Housekeeping","","","11WVY000000GC6r2AG","0jhVY000000001lYAA","false","Active","","1.0","60.0","","false","","false","false","true","false","true","Replaced"
"","MISSING_ARGUMENT:NPSP_ID__c not specified:--","Housing","","","11WVY000000GC6r2AG","0jhVY000000001kYAA","true","Active","","1.0","","42.0","true","0.0","true","true","true","true","true",""
"","MISSING_ARGUMENT:NPSP_ID__c not specified:--","Housing","","","11WVY000000GC3d2AG","0jhVY000000001kYAA","true","Active","","1.0","","56.0","true","0.0","false","false","true","true","true",""
"","MISSING_ARGUMENT:NPSP_ID__c not specified:--","Individual Session","","","11WVY000000GC3d2AG","0jhVY000000001eYAA","true","Active","","1.0","240.0","","false","","false","false","false","true","false",""
"","MISSING_ARGUMENT:NPSP_ID__c not specified:--","Individual Session","","","11WVY000000GC6r2AG","0jhVY000000001eYAA","true","Active","","1.0","60.0","","false","","true","false","false","true","false",""
"","MISSING_ARGUMENT:NPSP_ID__c not specified:--","Initial Planning Meeting (goal setting)","","","11WVY000000GC6r2AG","0jhVY000000001dYAA","true","Active","","1.0","60.0","","false","","true","false","true","false","true","Active"
"","MISSING_ARGUMENT:NPSP_ID__c not specified:--","Lease Violation Meeting","","","11WVY000000GC3d2AG","0jhVY000000001lYAA","true","Active","","1.0","60.0","","false","","false","false","true","false","false",""
"","MISSING_ARGUMENT:NPSP_ID__c not specified:--","Lease Violation Meeting","","","11WVY000000GC6r2AG","0jhVY000000001lYAA","false","Active","","1.0","60.0","","false","","false","false","true","false","false","Replaced"
