"sf__Id","sf__Error","Name","SWSHE_Service__c","UnitofMeasureId"
"","REQUIRED_FIELD_MISSING:Required fields are missing: [ProcessType]:ProcessType --","Basic Needs","","0hEVY00000002GU2AY"
"","REQUIRED_FIELD_MISSING:Required fields are missing: [ProcessType]:ProcessType --","Care Coordination","","0hEVY00000002GM2AY"
"","REQUIRED_FIELD_MISSING:Required fields are missing: [ProcessType]:ProcessType --","Community Outing","","0hEVY00000002GZ2AY"
"","REQUIRED_FIELD_MISSING:Required fields are missing: [ProcessType]:ProcessType --","Diag BT","","0hEVY00000002GO2AY"
"","REQUIRED_FIELD_MISSING:Required fields are missing: [ProcessType]:ProcessType --","Education Referral","","0hEVY00000002GZ2AY"
"","REQUIRED_FIELD_MISSING:Required fields are missing: [ProcessType]:ProcessType --","External Referral","","0hEVY00000002GY2AY"
"","REQUIRED_FIELD_MISSING:Required fields are missing: [ProcessType]:ProcessType --","Family Reunification","","0hEVY00000002GM2AY"
"","REQUIRED_FIELD_MISSING:Required fields are missing: [ProcessType]:ProcessType --","Goal Setting","","0hEVY00000002GZ2AY"
"","REQUIRED_FIELD_MISSING:Required fields are missing: [ProcessType]:ProcessType --","Group","","0hEVY00000002GT2AY"
"","REQUIRED_FIELD_MISSING:Required fields are missing: [ProcessType]:ProcessType --","Group Session","","0hEVY00000002GZ2AY"
"","REQUIRED_FIELD_MISSING:Required fields are missing: [ProcessType]:ProcessType --","Housing Support","","0hEVY00000002GZ2AY"
"","REQUIRED_FIELD_MISSING:Required fields are missing: [ProcessType]:ProcessType --","Meal","","0hEVY00000002GV2AY"
"","REQUIRED_FIELD_MISSING:Required fields are missing: [ProcessType]:ProcessType --","Peer Support","","0hEVY00000002GZ2AY"
"","REQUIRED_FIELD_MISSING:Required fields are missing: [ProcessType]:ProcessType --","Physical Health Referral","","0hEVY00000002GZ2AY"
"","REQUIRED_FIELD_MISSING:Required fields are missing: [ProcessType]:ProcessType --","Police Intervention","","0hEVY00000002GM2AY"
"","REQUIRED_FIELD_MISSING:Required fields are missing: [ProcessType]:ProcessType --","Transportation Assistance","","0hEVY00000002GX2AY"
