"sf__Id","sf__Error","Id","IsActive","Available_for_Housing__c","Available_for_Program_Engagement__c","Available_for_Case_Management__c","Available_for_Clinical__c","Available_for_Peer__c"
"0jiVY00000001KJYAY","FIELD_CUSTOM_VALIDATION_EXCEPTION:CPT Code is required when the related Benefit Type has a category of Clinical:--","0jiVY00000001KJYAY","false","false","false","false","false","false"
"0jiVY00000001KHYAY","FIELD_CUSTOM_VALIDATION_EXCEPTION:CPT Code is required when the related Benefit Type has a category of Clinical:--","0jiVY00000001KHYAY","false","false","false","false","false","false"
"0jiVY00000001fKYAQ","FIELD_CUSTOM_VALIDATION_EXCEPTION:CPT Code is required when the related Benefit Type has a category of Clinical:--","0jiVY00000001fKYAQ","false","false","false","false","false","false"
"0jiVY00000001tcYAA","FIELD_CUSTOM_VALIDATION_EXCEPTION:CPT Code is required when the related Benefit Type has a category of Clinical:--","0jiVY00000001tcYAA","false","false","false","false","false","false"
"0jiVY00000001phYAA","FIELD_CUSTOM_VALIDATION_EXCEPTION:CPT Code is required when the related Benefit Type has a category of Clinical:--","0jiVY00000001phYAA","false","false","false","false","false","false"
"0jiVY00000001fLYAQ","FIELD_CUSTOM_VALIDATION_EXCEPTION:CPT Code is required when the related Benefit Type has a category of Clinical:--","0jiVY00000001fLYAQ","false","false","false","false","false","false"
"0jiVY00000002ASYAY","FIELD_CUSTOM_VALIDATION_EXCEPTION:CPT Code is required when the related Benefit Type has a category of Clinical:--","0jiVY00000002ASYAY","false","false","false","false","false","false"
"0jiVY00000002KlYAI","FIELD_CUSTOM_VALIDATION_EXCEPTION:CPT Code is required when the related Benefit Type has a category of Clinical:--","0jiVY00000002KlYAI","false","false","false","false","false","false"
"0jiVY00000001tdYAA","FIELD_CUSTOM_VALIDATION_EXCEPTION:CPT Code is required when the related Benefit Type has a category of Clinical:--","0jiVY00000001tdYAA","false","false","false","false","false","false"
"0jiVY00000001piYAA","FIELD_CUSTOM_VALIDATION_EXCEPTION:CPT Code is required when the related Benefit Type has a category of Clinical:--","0jiVY00000001piYAA","false","false","false","false","false","false"
"0jiVY00000001fMYAQ","FIELD_CUSTOM_VALIDATION_EXCEPTION:CPT Code is required when the related Benefit Type has a category of Clinical:--","0jiVY00000001fMYAQ","false","false","false","false","false","false"
"0jiVY00000002ATYAY","FIELD_CUSTOM_VALIDATION_EXCEPTION:CPT Code is required when the related Benefit Type has a category of Clinical:--","0jiVY00000002ATYAY","false","false","false","false","false","false"
"0jiVY00000002KmYAI","FIELD_CUSTOM_VALIDATION_EXCEPTION:CPT Code is required when the related Benefit Type has a category of Clinical:--","0jiVY00000002KmYAI","false","false","false","false","false","false"
"0jiVY00000001teYAA","FIELD_CUSTOM_VALIDATION_EXCEPTION:CPT Code is required when the related Benefit Type has a category of Clinical:--","0jiVY00000001teYAA","false","false","false","false","false","false"
"0jiVY00000001KhYAI","FIELD_CUSTOM_VALIDATION_EXCEPTION:CPT Code is required when the related Benefit Type has a category of Clinical:--","0jiVY00000001KhYAI","false","false","false","false","false","false"
"0jiVY00000001pjYAA","FIELD_CUSTOM_VALIDATION_EXCEPTION:CPT Code is required when the related Benefit Type has a category of Clinical:--","0jiVY00000001pjYAA","false","false","false","false","false","false"
"0jiVY00000001fNYAQ","FIELD_CUSTOM_VALIDATION_EXCEPTION:CPT Code is required when the related Benefit Type has a category of Clinical:--","0jiVY00000001fNYAQ","false","false","false","false","false","false"
"0jiVY00000002AUYAY","FIELD_CUSTOM_VALIDATION_EXCEPTION:CPT Code is required when the related Benefit Type has a category of Clinical:--","0jiVY00000002AUYAY","false","false","false","false","false","false"
"0jiVY00000002KnYAI","FIELD_CUSTOM_VALIDATION_EXCEPTION:CPT Code is required when the related Benefit Type has a category of Clinical:--","0jiVY00000002KnYAI","false","false","false","false","false","false"
"0jiVY00000001tfYAA","FIELD_CUSTOM_VALIDATION_EXCEPTION:CPT Code is required when the related Benefit Type has a category of Clinical:--","0jiVY00000001tfYAA","false","false","false","false","false","false"
"0jiVY00000001KiYAI","FIELD_CUSTOM_VALIDATION_EXCEPTION:CPT Code is required when the related Benefit Type has a category of Clinical:--","0jiVY00000001KiYAI","false","false","false","false","false","false"
"0jiVY00000001pkYAA","FIELD_CUSTOM_VALIDATION_EXCEPTION:CPT Code is required when the related Benefit Type has a category of Clinical:--","0jiVY00000001pkYAA","false","false","false","false","false","false"
"0jiVY00000001fOYAQ","FIELD_CUSTOM_VALIDATION_EXCEPTION:CPT Code is required when the related Benefit Type has a category of Clinical:--","0jiVY00000001fOYAQ","false","false","false","false","false","false"
"0jiVY00000002AVYAY","FIELD_CUSTOM_VALIDATION_EXCEPTION:CPT Code is required when the related Benefit Type has a category of Clinical:--","0jiVY00000002AVYAY","false","false","false","false","false","false"
"0jiVY00000002KoYAI","FIELD_CUSTOM_VALIDATION_EXCEPTION:CPT Code is required when the related Benefit Type has a category of Clinical:--","0jiVY00000002KoYAI","false","false","false","false","false","false"
"0jiVY00000001tgYAA","FIELD_CUSTOM_VALIDATION_EXCEPTION:CPT Code is required when the related Benefit Type has a category of Clinical:--","0jiVY00000001tgYAA","false","false","false","false","false","false"
"0jiVY00000001KjYAI","FIELD_CUSTOM_VALIDATION_EXCEPTION:CPT Code is required when the related Benefit Type has a category of Clinical:--","0jiVY00000001KjYAI","false","false","false","false","false","false"
"0jiVY00000002KpYAI","FIELD_CUSTOM_VALIDATION_EXCEPTION:CPT Code is required when the related Benefit Type has a category of Clinical:--","0jiVY00000002KpYAI","false","false","false","false","false","false"
"0jiVY00000001pmYAA","FIELD_CUSTOM_VALIDATION_EXCEPTION:CPT Code is required when the related Benefit Type has a category of Clinical:--","0jiVY00000001pmYAA","false","false","false","false","false","false"
"0jiVY00000001tiYAA","FIELD_CUSTOM_VALIDATION_EXCEPTION:CPT Code is required when the related Benefit Type has a category of Clinical:--","0jiVY00000001tiYAA","false","false","false","false","false","false"
"0jiVY00000001qFYAQ","FIELD_CUSTOM_VALIDATION_EXCEPTION:CPT Code is required when the related Benefit Type has a category of Clinical:--","0jiVY00000001qFYAQ","false","false","false","false","false","false"
"0jiVY000000020cYAA","FIELD_CUSTOM_VALIDATION_EXCEPTION:CPT Code is required when the related Benefit Type has a category of Clinical:--","0jiVY000000020cYAA","false","false","false","false","false","false"
"0jiVY00000001riYAA","FIELD_CUSTOM_VALIDATION_EXCEPTION:CPT Code is required when the related Benefit Type has a category of Clinical:--","0jiVY00000001riYAA","false","false","false","false","false","false"
"0jiVY00000002CPYAY","FIELD_CUSTOM_VALIDATION_EXCEPTION:CPT Code is required when the related Benefit Type has a category of Clinical:--","0jiVY00000002CPYAY","false","false","false","false","false","false"
"0jiVY00000002MiYAI","FIELD_CUSTOM_VALIDATION_EXCEPTION:CPT Code is required when the related Benefit Type has a category of Clinical:--","0jiVY00000002MiYAI","false","false","false","false","false","false"
"0jiVY0000000221YAA","FIELD_CUSTOM_VALIDATION_EXCEPTION:CPT Code is required when the related Benefit Type has a category of Clinical:--","0jiVY0000000221YAA","false","false","false","false","false","false"
"0jiVY00000001MdYAI","FIELD_CUSTOM_VALIDATION_EXCEPTION:CPT Code is required when the related Benefit Type has a category of Clinical:--","0jiVY00000001MdYAI","false","false","false","false","false","false"
"0jiVY00000001rjYAA","FIELD_CUSTOM_VALIDATION_EXCEPTION:CPT Code is required when the related Benefit Type has a category of Clinical:--","0jiVY00000001rjYAA","false","false","false","false","false","false"
"0jiVY00000002CQYAY","FIELD_CUSTOM_VALIDATION_EXCEPTION:CPT Code is required when the related Benefit Type has a category of Clinical:--","0jiVY00000002CQYAY","false","false","false","false","false","false"
"0jiVY00000002MnYAI","FIELD_CUSTOM_VALIDATION_EXCEPTION:CPT Code is required when the related Benefit Type has a category of Clinical:--","0jiVY00000002MnYAI","false","false","false","false","false","false"
"0jiVY0000000222YAA","FIELD_CUSTOM_VALIDATION_EXCEPTION:CPT Code is required when the related Benefit Type has a category of Clinical:--","0jiVY0000000222YAA","false","false","false","false","false","false"
"0jiVY00000002CUYAY","FIELD_CUSTOM_VALIDATION_EXCEPTION:CPT Code is required when the related Benefit Type has a category of Clinical:--","0jiVY00000002CUYAY","false","false","false","false","false","false"
"0jiVY00000002MrYAI","FIELD_CUSTOM_VALIDATION_EXCEPTION:CPT Code is required when the related Benefit Type has a category of Clinical:--","0jiVY00000002MrYAI","false","false","false","false","false","false"
"0jiVY00000001rvYAA","FIELD_CUSTOM_VALIDATION_EXCEPTION:CPT Code is required when the related Benefit Type has a category of Clinical:--","0jiVY00000001rvYAA","false","false","false","false","false","false"
"0jiVY000000022EYAQ","FIELD_CUSTOM_VALIDATION_EXCEPTION:CPT Code is required when the related Benefit Type has a category of Clinical:--","0jiVY000000022EYAQ","false","false","false","false","false","false"
"0jiVY00000001tHYAQ","FIELD_CUSTOM_VALIDATION_EXCEPTION:CPT Code is required when the related Benefit Type has a category of Clinical:--","0jiVY00000001tHYAQ","false","false","false","false","false","false"
"0jiVY00000001pLYAQ","FIELD_CUSTOM_VALIDATION_EXCEPTION:CPT Code is required when the related Benefit Type has a category of Clinical:--","0jiVY00000001pLYAQ","false","false","false","false","false","false"
"0jiVY00000002A6YAI","FIELD_CUSTOM_VALIDATION_EXCEPTION:CPT Code is required when the related Benefit Type has a category of Clinical:--","0jiVY00000002A6YAI","false","false","false","false","false","false"
"0jiVY00000001oFYAQ","FIELD_CUSTOM_VALIDATION_EXCEPTION:CPT Code is required when the related Benefit Type has a category of Clinical:--","0jiVY00000001oFYAQ","false","false","false","false","false","false"
"0jiVY00000001sHYAQ","FIELD_CUSTOM_VALIDATION_EXCEPTION:CPT Code is required when the related Benefit Type has a category of Clinical:--","0jiVY00000001sHYAQ","false","false","false","false","false","false"
"0jiVY00000002CyYAI","FIELD_CUSTOM_VALIDATION_EXCEPTION:CPT Code is required when the related Benefit Type has a category of Clinical:--","0jiVY00000002CyYAI","false","false","false","false","false","false"
"0jiVY00000002NLYAY","FIELD_CUSTOM_VALIDATION_EXCEPTION:CPT Code is required when the related Benefit Type has a category of Clinical:--","0jiVY00000002NLYAY","false","false","false","false","false","false"
"0jiVY000000022aYAA","FIELD_CUSTOM_VALIDATION_EXCEPTION:CPT Code is required when the related Benefit Type has a category of Clinical:--","0jiVY000000022aYAA","false","false","false","false","false","false"
"0jiVY00000001sKYAQ","FIELD_CUSTOM_VALIDATION_EXCEPTION:CPT Code is required when the related Benefit Type has a category of Clinical:--","0jiVY00000001sKYAQ","false","false","false","false","false","false"
"0jiVY00000002D1YAI","FIELD_CUSTOM_VALIDATION_EXCEPTION:CPT Code is required when the related Benefit Type has a category of Clinical:--","0jiVY00000002D1YAI","false","false","false","false","false","false"
"0jiVY000000022dYAA","FIELD_CUSTOM_VALIDATION_EXCEPTION:CPT Code is required when the related Benefit Type has a category of Clinical:--","0jiVY000000022dYAA","false","false","false","false","false","false"
"0jiVY00000001NFYAY","FIELD_CUSTOM_VALIDATION_EXCEPTION:CPT Code is required when the related Benefit Type has a category of Clinical:--","0jiVY00000001NFYAY","false","false","false","false","false","false"
"0jiVY00000001sTYAQ","FIELD_CUSTOM_VALIDATION_EXCEPTION:CPT Code is required when the related Benefit Type has a category of Clinical:--","0jiVY00000001sTYAQ","false","false","false","false","false","false"
"0jiVY00000001oXYAQ","FIELD_CUSTOM_VALIDATION_EXCEPTION:CPT Code is required when the related Benefit Type has a category of Clinical:--","0jiVY00000001oXYAQ","false","false","false","false","false","false"
"0jiVY00000002JbYAI","FIELD_CUSTOM_VALIDATION_EXCEPTION:CPT Code is required when the related Benefit Type has a category of Clinical:--","0jiVY00000002JbYAI","false","false","false","false","false","false"
"0jiVY00000002NXYAY","FIELD_CUSTOM_VALIDATION_EXCEPTION:CPT Code is required when the related Benefit Type has a category of Clinical:--","0jiVY00000002NXYAY","false","false","false","false","false","false"
"0jiVY000000022mYAA","FIELD_CUSTOM_VALIDATION_EXCEPTION:CPT Code is required when the related Benefit Type has a category of Clinical:--","0jiVY000000022mYAA","false","false","false","false","false","false"
"0jiVY00000001NOYAY","FIELD_CUSTOM_VALIDATION_EXCEPTION:CPT Code is required when the related Benefit Type has a category of Clinical:--","0jiVY00000001NOYAY","false","false","false","false","false","false"
