"sf__Id","sf__Created","Id","IsActive","Available_for_Housing__c","Available_for_Program_Engagement__c","Available_for_Case_Management__c","Available_for_Clinical__c","Available_for_Peer__c"
"0jiVY00000001pMYAQ","false","0jiVY00000001pMYAQ","false","false","false","false","false","false"
"0jiVY00000001f0YAA","false","0jiVY00000001f0YAA","false","false","false","false","false","false"
"0jiVY00000002A7YAI","false","0jiVY00000002A7YAI","false","false","false","false","false","false"
"0jiVY00000002KQYAY","false","0jiVY00000002KQYAY","false","false","false","false","false","false"
"0jiVY00000001tIYAQ","false","0jiVY00000001tIYAQ","false","false","false","false","false","false"
"0jiVY00000001KLYAY","false","0jiVY00000001KLYAY","false","false","false","false","false","false"
"0jiVY00000001pNYAQ","false","0jiVY00000001pNYAQ","false","false","false","false","false","false"
"0jiVY00000001f1YAA","false","0jiVY00000001f1YAA","false","false","false","false","false","false"
"0jiVY00000002A8YAI","false","0jiVY00000002A8YAI","false","false","false","false","false","false"
"0jiVY00000002jkYAA","false","0jiVY00000002jkYAA","false","false","false","false","false","false"
"0jiVY00000002KRYAY","false","0jiVY00000002KRYAY","false","false","false","false","false","false"
"0jiVY00000001tJYAQ","false","0jiVY00000001tJYAQ","false","false","false","false","false","false"
"0jiVY00000001KMYAY","false","0jiVY00000001KMYAY","false","false","false","false","false","false"
"0jiVY00000002KYYAY","false","0jiVY00000002KYYAY","false","false","false","false","false","false"
"0jiVY00000001pVYAQ","false","0jiVY00000001pVYAQ","false","false","false","false","false","false"
"0jiVY00000001f9YAA","false","0jiVY00000001f9YAA","false","false","false","false","false","false"
"0jiVY00000002AGYAY","false","0jiVY00000002AGYAY","false","false","false","false","false","false"
"0jiVY00000002jjYAA","false","0jiVY00000002jjYAA","false","false","false","false","false","false"
"0jiVY00000002KZYAY","false","0jiVY00000002KZYAY","false","false","false","false","false","false"
"0jiVY00000001tRYAQ","false","0jiVY00000001tRYAQ","false","false","false","false","false","false"
"0jiVY00000001KUYAY","false","0jiVY00000001KUYAY","false","false","false","false","false","false"
"0jiVY00000002KaYAI","false","0jiVY00000002KaYAI","false","false","false","false","false","false"
"0jiVY00000002AIYAY","false","0jiVY00000002AIYAY","false","false","false","false","false","false"
"0jiVY00000002KbYAI","false","0jiVY00000002KbYAI","false","false","false","false","false","false"
"0jiVY00000002ufYAA","false","0jiVY00000002ufYAA","false","false","false","false","false","false"
"0jiVY00000001paYAA","false","0jiVY00000001paYAA","false","false","false","false","false","false"
"0jiVY00000001fEYAQ","false","0jiVY00000001fEYAQ","false","false","false","false","false","false"
"0jiVY00000002ALYAY","false","0jiVY00000002ALYAY","false","false","false","false","false","false"
"0jiVY00000002jqYAA","false","0jiVY00000002jqYAA","false","false","false","false","false","false"
"0jiVY00000002KeYAI","false","0jiVY00000002KeYAI","false","false","false","false","false","false"
"0jiVY00000001tWYAQ","false","0jiVY00000001tWYAQ","false","false","false","false","false","false"
"0jiVY00000001KZYAY","false","0jiVY00000001KZYAY","false","false","false","false","false","false"
"0jiVY00000001pbYAA","false","0jiVY00000001pbYAA","false","false","false","false","false","false"
"0jiVY00000001fFYAQ","false","0jiVY00000001fFYAQ","false","false","false","false","false","false"
"0jiVY00000002AMYAY","false","0jiVY00000002AMYAY","false","false","false","false","false","false"
"0jiVY00000002jZYAQ","false","0jiVY00000002jZYAQ","false","false","false","false","false","false"
"0jiVY00000002KfYAI","false","0jiVY00000002KfYAI","false","false","false","false","false","false"
"0jiVY00000001tXYAQ","false","0jiVY00000001tXYAQ","false","false","false","false","false","false"
"0jiVY00000001KaYAI","false","0jiVY00000001KaYAI","false","false","false","false","false","false"
"0jiVY00000001pcYAA","false","0jiVY00000001pcYAA","false","false","false","false","false","false"
"0jiVY00000001fGYAQ","false","0jiVY00000001fGYAQ","false","false","false","false","false","false"
"0jiVY00000002ANYAY","false","0jiVY00000002ANYAY","false","false","false","false","false","false"
"0jiVY00000002KgYAI","false","0jiVY00000002KgYAI","false","false","false","false","false","false"
"0jiVY00000001tYYAQ","false","0jiVY00000001tYYAQ","false","false","false","false","false","false"
"0jiVY00000001KbYAI","false","0jiVY00000001KbYAI","false","false","false","false","false","false"
"0jiVY00000002AOYAY","false","0jiVY00000002AOYAY","false","false","false","false","false","false"
"0jiVY00000002KhYAI","false","0jiVY00000002KhYAI","false","false","false","false","false","false"
"0jiVY00000002APYAY","false","0jiVY00000002APYAY","false","false","false","false","false","false"
"0jiVY00000001tbYAA","false","0jiVY00000001tbYAA","false","false","false","false","false","false"
"0jiVY00000001pfYAA","false","0jiVY00000001pfYAA","false","false","false","false","false","false"
"0jiVY00000001fJYAQ","false","0jiVY00000001fJYAQ","false","false","false","false","false","false"
"0jiVY00000002AQYAY","false","0jiVY00000002AQYAY","false","false","false","false","false","false"
"0jiVY00000002KjYAI","false","0jiVY00000002KjYAI","false","false","false","false","false","false"
"0jiVY00000001KeYAI","false","0jiVY00000001KeYAI","false","false","false","false","false","false"
"0jiVY00000002jSYAQ","false","0jiVY00000002jSYAQ","false","false","false","false","false","false"
"0jiVY00000002jvYAA","false","0jiVY00000002jvYAA","false","false","false","false","false","false"
"0jiVY00000002jfYAA","false","0jiVY00000002jfYAA","false","false","false","false","false","false"
"0jiVY00000003AnYAI","false","0jiVY00000003AnYAI","false","false","false","false","false","false"
"0jiVY00000002xtYAA","false","0jiVY00000002xtYAA","false","false","false","false","false","false"
"0jiVY000000035xYAA","false","0jiVY000000035xYAA","false","false","false","false","false","false"
"0jiVY0000000318YAA","false","0jiVY0000000318YAA","false","false","false","false","false","false"
"0jiVY00000002oDYAQ","false","0jiVY00000002oDYAQ","false","false","false","false","false","false"
"0jiVY00000001ppYAA","false","0jiVY00000001ppYAA","false","false","false","false","false","false"
"0jiVY00000001fTYAQ","false","0jiVY00000001fTYAQ","false","false","false","false","false","false"
"0jiVY00000002AaYAI","false","0jiVY00000002AaYAI","false","false","false","false","false","false"
"0jiVY00000002jxYAA","false","0jiVY00000002jxYAA","false","false","false","false","false","false"
"0jiVY00000002KtYAI","false","0jiVY00000002KtYAI","false","false","false","false","false","false"
"0jiVY000000020CYAQ","false","0jiVY000000020CYAQ","false","false","false","false","false","false"
"0jiVY00000001KoYAI","false","0jiVY00000001KoYAI","false","false","false","false","false","false"
"0jiVY00000001pqYAA","false","0jiVY00000001pqYAA","false","false","false","false","false","false"
"0jiVY00000001fUYAQ","false","0jiVY00000001fUYAQ","false","false","false","false","false","false"
"0jiVY00000002AbYAI","false","0jiVY00000002AbYAI","false","false","false","false","false","false"
"0jiVY00000002KuYAI","false","0jiVY00000002KuYAI","false","false","false","false","false","false"
"0jiVY000000020DYAQ","false","0jiVY000000020DYAQ","false","false","false","false","false","false"
"0jiVY00000001KpYAI","false","0jiVY00000001KpYAI","false","false","false","false","false","false"
"0jiVY00000001ptYAA","false","0jiVY00000001ptYAA","false","false","false","false","false","false"
"0jiVY00000001fXYAQ","false","0jiVY00000001fXYAQ","false","false","false","false","false","false"
"0jiVY00000002AeYAI","false","0jiVY00000002AeYAI","false","false","false","false","false","false"
"0jiVY00000002jyYAA","false","0jiVY00000002jyYAA","false","false","false","false","false","false"
"0jiVY00000002KxYAI","false","0jiVY00000002KxYAI","false","false","false","false","false","false"
