"sf__Id","sf__Error","Name","SWSHE_Service__c"
"","FIELD_INTEGRITY_EXCEPTION: Select a unit of measure.:--","Basic Needs",""
"","FIELD_INTEGRITY_EXCEPTION: Select a unit of measure.:--","Care Coordination",""
"","FIELD_INTEGRITY_EXCEPTION: Select a unit of measure.:--","Community Outing",""
"","FIELD_INTEGRITY_EXCEPTION: Select a unit of measure.:--","Diag BT",""
"","FIELD_INTEGRITY_EXCEPTION: Select a unit of measure.:--","Education Referral",""
"","FIELD_INTEGRITY_EXCEPTION: Select a unit of measure.:--","External Referral",""
"","FIELD_INTEGRITY_EXCEPTION: Select a unit of measure.:--","Family Reunification",""
"","FIELD_INTEGRITY_EXCEPTION: Select a unit of measure.:--","Goal Setting",""
"","FIELD_INTEGRITY_EXCEPTION: Select a unit of measure.:--","Group",""
"","FIELD_INTEGRITY_EXCEPTION: Select a unit of measure.:--","Group Session",""
"","FIELD_INTEGRITY_EXCEPTION: Select a unit of measure.:--","Housing Support",""
"","FIELD_INTEGRITY_EXCEPTION: Select a unit of measure.:--","Meal",""
"","FIELD_INTEGRITY_EXCEPTION: Select a unit of measure.:--","Peer Support",""
"","FIELD_INTEGRITY_EXCEPTION: Select a unit of measure.:--","Physical Health Referral",""
"","FIELD_INTEGRITY_EXCEPTION: Select a unit of measure.:--","Police Intervention",""
"","FIELD_INTEGRITY_EXCEPTION: Select a unit of measure.:--","Transportation Assistance",""
