"sf__Id","sf__Error","Name","NPSP_ID__c","SWSHE_Service__c"
"","MISSING_ARGUMENT:NPSP_ID__c not specified:--","Basic Needs","",""
"","MISSING_ARGUMENT:NPSP_ID__c not specified:--","Care Coordination","",""
"","MISSING_ARGUMENT:NPSP_ID__c not specified:--","Case Management","",""
"","MISSING_ARGUMENT:NPSP_ID__c not specified:--","Clinical Counseling","",""
"","MISSING_ARGUMENT:NPSP_ID__c not specified:--","Community Outing","",""
"","MISSING_ARGUMENT:NPSP_ID__c not specified:--","Diag BT","",""
"","MISSING_ARGUMENT:NPSP_ID__c not specified:--","Education","",""
"","MISSING_ARGUMENT:NPSP_ID__c not specified:--","Education Referral","",""
"","MISSING_ARGUMENT:NPSP_ID__c not specified:--","Employment","",""
"","MISSING_ARGUMENT:NPSP_ID__c not specified:--","External Referral","",""
"","MISSING_ARGUMENT:NPSP_ID__c not specified:--","Family Reunification","",""
"","MISSING_ARGUMENT:NPSP_ID__c not specified:--","Goal Setting","",""
"","MISSING_ARGUMENT:NPSP_ID__c not specified:--","Group","",""
"","MISSING_ARGUMENT:NPSP_ID__c not specified:--","Group Session","",""
"","MISSING_ARGUMENT:NPSP_ID__c not specified:--","Housing","",""
"","MISSING_ARGUMENT:NPSP_ID__c not specified:--","Housing Navigation","",""
"","MISSING_ARGUMENT:NPSP_ID__c not specified:--","Housing Support","",""
"","MISSING_ARGUMENT:NPSP_ID__c not specified:--","Meal","",""
"","MISSING_ARGUMENT:NPSP_ID__c not specified:--","Peer Clinical","",""
"","MISSING_ARGUMENT:NPSP_ID__c not specified:--","Peer Support","",""
"","MISSING_ARGUMENT:NPSP_ID__c not specified:--","Physical Health Referral","",""
"","MISSING_ARGUMENT:NPSP_ID__c not specified:--","Police Intervention","",""
"","MISSING_ARGUMENT:NPSP_ID__c not specified:--","Social/Emotional","",""
"","MISSING_ARGUMENT:NPSP_ID__c not specified:--","Social/Emotional","",""
"","MISSING_ARGUMENT:NPSP_ID__c not specified:--","Transportation Assistance","",""
