"sf__Id","sf__Error","ProgramId","AccountId","ContactId","Case__c","StartDate","EndDate","Status","ApplicationDate","Anything_else__c"
"","FIELD_INTEGRITY_EXCEPTION:You can’t create or update the same program enrollment record in one request.:--","11WVY000005ea9y2AA","001VY00000CGRkrYAH","","","2020-01-01","","Enrolled","2020-01-01","MIG:11XVY000000aMj92AE"
"","FIELD_INTEGRITY_EXCEPTION:You can’t create or update the same program enrollment record in one request.:--","11WVY000005ea9y2AA","001VY00000CGRcMYAX","","","2020-02-06","","Enrolled","2020-02-06","MIG:11XVY000000aMqT2AU"
"","FIELD_INTEGRITY_EXCEPTION:You can’t create or update the same program enrollment record in one request.:--","11WVY000005ea9y2AA","001VY00000CGRkrYAH","","","2021-03-23","","Enrolled","2021-03-23","MIG:11XVY000000aMrU2AU"
"","FIELD_INTEGRITY_EXCEPTION:Select another account or program.:--","11WVY000005ea9y2AA","001VY00000CGRcMYAX","","","2020-09-15","","Enrolled","2020-09-15","MIG:11XVY000000aMsA2AU"
"","FIELD_INTEGRITY_EXCEPTION:Select another account or program.:--","11WVY000005ea9y2AA","001VY00000CGSMOYA5","","","2021-05-10","","Enrolled","2021-05-10","MIG:11XVY000000aMsV2AU"
"","FIELD_INTEGRITY_EXCEPTION:You can’t create or update the same program enrollment record in one request.:--","11WVY000005ea9y2AA","001VY00000CGSFpYAP","","","2017-01-03","","Enrolled","2017-01-03","MIG:11XVY000000aN1O2AU"
"","FIELD_INTEGRITY_EXCEPTION:Select another account or program.:--","11WVY000005ea9y2AA","001VY00000CGSF8YAP","","","2016-10-26","","Enrolled","2016-10-26","MIG:11XVY000000aN1T2AU"
"","FIELD_INTEGRITY_EXCEPTION:You can’t create or update the same program enrollment record in one request.:--","11WVY000005ea9y2AA","001VY00000CGSF8YAP","","","2017-01-03","","Enrolled","2017-01-03","MIG:11XVY000000aN1U2AU"
"","FIELD_INTEGRITY_EXCEPTION:You can’t create or update the same program enrollment record in one request.:--","11WVY000005ea9y2AA","001VY00000CGXR3YAP","","","2017-01-30","","Enrolled","2017-01-30","MIG:11XVY000000aN6C2AU"
"","FIELD_INTEGRITY_EXCEPTION:You can’t create or update the same program enrollment record in one request.:--","11WVY000005ea9y2AA","001VY00000CGSMOYA5","","","2017-08-05","","Enrolled","2017-08-05","MIG:11XVY000000aNFs2AM"
"","FIELD_INTEGRITY_EXCEPTION:You can’t create or update the same program enrollment record in one request.:--","11WVY000005ea9y2AA","001VY00000CGSMOYA5","","","2018-03-22","","Enrolled","2018-03-22","MIG:11XVY000000aNGC2A2"
"","FIELD_INTEGRITY_EXCEPTION:You can’t create or update the same program enrollment record in one request.:--","11WVY000005ea9y2AA","001VY00000CGSFpYAP","","","2018-01-02","","Enrolled","2018-01-02","MIG:11XVY000000aNHf2AM"
"","FIELD_INTEGRITY_EXCEPTION:You can’t create or update the same program enrollment record in one request.:--","11WVY000005ea9y2AA","001VY00000CGSF8YAP","","","2018-01-10","","Enrolled","2018-01-10","MIG:11XVY000000aNHz2AM"
"","FIELD_INTEGRITY_EXCEPTION:Select another account or program.:--","11WVY000005ea9y2AA","001VY00000CGSbzYAH","","","2018-09-25","","Enrolled","2018-09-25","MIG:11XVY000000aNLi2AM"
"","FIELD_INTEGRITY_EXCEPTION:Select another account or program.:--","11WVY000005ea9y2AA","001VY00000CGXTRYA5","","","2018-09-29","","Enrolled","2018-09-29","MIG:11XVY000000aNLm2AM"
"","FIELD_INTEGRITY_EXCEPTION:Select another account or program.:--","11WVY000005ea9y2AA","001VY00000CGRmzYAH","","","2022-01-25","","Enrolled","2022-01-25","MIG:11XVY000000aNNG2A2"
"","FIELD_INTEGRITY_EXCEPTION:Select another account or program.:--","11WVY000005ea9y2AA","001VY00000CGIY9YAP","","","2022-07-12","","Enrolled","2022-07-12","MIG:11XVY000000aNYv2AM"
"","FIELD_INTEGRITY_EXCEPTION:Select another account or program.:--","11WVY000005ea9y2AA","001VY00000CGSbVYAX","","","2022-08-14","","Enrolled","2022-08-14","MIG:11XVY000000aNfj2AE"
