"sf__Id","sf__Error","Id","ProgramId","Status"
"11XVY000000aLac2AE","INVALID_FIELD_FOR_INSERT_UPDATE:Unable to create/update fields: ProgramId. Please check the security settings of this field and verify that it is read/write for your profile or permission set.:ProgramId --","11XVY000000aLac2AE","11WVY000005ea9y2AA","Enrolled"
"11XVY000000aLc52AE","INVALID_FIELD_FOR_INSERT_UPDATE:Unable to create/update fields: ProgramId. Please check the security settings of this field and verify that it is read/write for your profile or permission set.:ProgramId --","11XVY000000aLc52AE","11WVY000005ea9y2AA","Enrolled"
"11XVY000000aMWq2AM","INVALID_FIELD_FOR_INSERT_UPDATE:Unable to create/update fields: ProgramId. Please check the security settings of this field and verify that it is read/write for your profile or permission set.:ProgramId --","11XVY000000aMWq2AM","11WVY000005ea9y2AA","Enrolled"
"11XVY000000aMX22AM","INVALID_FIELD_FOR_INSERT_UPDATE:Unable to create/update fields: ProgramId. Please check the security settings of this field and verify that it is read/write for your profile or permission set.:ProgramId --","11XVY000000aMX22AM","11WVY000005ea9y2AA","Enrolled"
"11XVY000000aMXF2A2","INVALID_FIELD_FOR_INSERT_UPDATE:Unable to create/update fields: ProgramId. Please check the security settings of this field and verify that it is read/write for your profile or permission set.:ProgramId --","11XVY000000aMXF2A2","11WVY000005ea9y2AA","Enrolled"
"11XVY000000aMXG2A2","INVALID_FIELD_FOR_INSERT_UPDATE:Unable to create/update fields: ProgramId. Please check the security settings of this field and verify that it is read/write for your profile or permission set.:ProgramId --","11XVY000000aMXG2A2","11WVY000005ea9y2AA","Enrolled"
"11XVY000000aMXI2A2","INVALID_FIELD_FOR_INSERT_UPDATE:Unable to create/update fields: ProgramId. Please check the security settings of this field and verify that it is read/write for your profile or permission set.:ProgramId --","11XVY000000aMXI2A2","11WVY000005ea9y2AA","Enrolled"
"11XVY000000aMXJ2A2","INVALID_FIELD_FOR_INSERT_UPDATE:Unable to create/update fields: ProgramId. Please check the security settings of this field and verify that it is read/write for your profile or permission set.:ProgramId --","11XVY000000aMXJ2A2","11WVY000005ea9y2AA","Enrolled"
"11XVY000000aMXM2A2","INVALID_FIELD_FOR_INSERT_UPDATE:Unable to create/update fields: ProgramId. Please check the security settings of this field and verify that it is read/write for your profile or permission set.:ProgramId --","11XVY000000aMXM2A2","11WVY000005ea9y2AA","Enrolled"
"11XVY000000aMXS2A2","INVALID_FIELD_FOR_INSERT_UPDATE:Unable to create/update fields: ProgramId. Please check the security settings of this field and verify that it is read/write for your profile or permission set.:ProgramId --","11XVY000000aMXS2A2","11WVY000005ea9y2AA","Enrolled"
"11XVY000000aMXT2A2","INVALID_FIELD_FOR_INSERT_UPDATE:Unable to create/update fields: ProgramId. Please check the security settings of this field and verify that it is read/write for your profile or permission set.:ProgramId --","11XVY000000aMXT2A2","11WVY000005ea9y2AA","Enrolled"
"11XVY000000aMXU2A2","INVALID_FIELD_FOR_INSERT_UPDATE:Unable to create/update fields: ProgramId. Please check the security settings of this field and verify that it is read/write for your profile or permission set.:ProgramId --","11XVY000000aMXU2A2","11WVY000005ea9y2AA","Enrolled"
"11XVY000000aMXV2A2","INVALID_FIELD_FOR_INSERT_UPDATE:Unable to create/update fields: ProgramId. Please check the security settings of this field and verify that it is read/write for your profile or permission set.:ProgramId --","11XVY000000aMXV2A2","11WVY000005ea9y2AA","Enrolled"
"11XVY000000aMXW2A2","INVALID_FIELD_FOR_INSERT_UPDATE:Unable to create/update fields: ProgramId. Please check the security settings of this field and verify that it is read/write for your profile or permission set.:ProgramId --","11XVY000000aMXW2A2","11WVY000005ea9y2AA","Enrolled"
"11XVY000000aMXX2A2","INVALID_FIELD_FOR_INSERT_UPDATE:Unable to create/update fields: ProgramId. Please check the security settings of this field and verify that it is read/write for your profile or permission set.:ProgramId --","11XVY000000aMXX2A2","11WVY000005ea9y2AA","Enrolled"
"11XVY000000aMXY2A2","INVALID_FIELD_FOR_INSERT_UPDATE:Unable to create/update fields: ProgramId. Please check the security settings of this field and verify that it is read/write for your profile or permission set.:ProgramId --","11XVY000000aMXY2A2","11WVY000005ea9y2AA","Enrolled"
"11XVY000000aMXa2AM","INVALID_FIELD_FOR_INSERT_UPDATE:Unable to create/update fields: ProgramId. Please check the security settings of this field and verify that it is read/write for your profile or permission set.:ProgramId --","11XVY000000aMXa2AM","11WVY000005ea9y2AA","Enrolled"
"11XVY000000aMXc2AM","INVALID_FIELD_FOR_INSERT_UPDATE:Unable to create/update fields: ProgramId. Please check the security settings of this field and verify that it is read/write for your profile or permission set.:ProgramId --","11XVY000000aMXc2AM","11WVY000005ea9y2AA","Enrolled"
"11XVY000000aMXe2AM","INVALID_FIELD_FOR_INSERT_UPDATE:Unable to create/update fields: ProgramId. Please check the security settings of this field and verify that it is read/write for your profile or permission set.:ProgramId --","11XVY000000aMXe2AM","11WVY000005ea9y2AA","Enrolled"
"11XVY000000aMXf2AM","INVALID_FIELD_FOR_INSERT_UPDATE:Unable to create/update fields: ProgramId. Please check the security settings of this field and verify that it is read/write for your profile or permission set.:ProgramId --","11XVY000000aMXf2AM","11WVY000005ea9y2AA","Enrolled"
