"sf__Id","sf__Error","Id","IsActive"
"0jiVY00000001qnYAA","FIELD_CUSTOM_VALIDATION_EXCEPTION:CPT Code is required when the related Benefit Type has a category of Clinical:--","0jiVY00000001qnYAA","false"
"0jiVY00000001pgYAA","FIELD_CUSTOM_VALIDATION_EXCEPTION:CPT Code is required when the related Benefit Type has a category of Clinical:--","0jiVY00000001pgYAA","false"
"0jiVY00000001tGYAQ","FIELD_CUSTOM_VALIDATION_EXCEPTION:CPT Code is required when the related Benefit Type has a category of Clinical:--","0jiVY00000001tGYAQ","false"
"0jiVY00000001rnYAA","FIELD_CUSTOM_VALIDATION_EXCEPTION:CPT Code is required when the related Benefit Type has a category of Clinical:--","0jiVY00000001rnYAA","false"
"0jiVY00000001qGYAQ","FIELD_CUSTOM_VALIDATION_EXCEPTION:CPT Code is required when the related Benefit Type has a category of Clinical:--","0jiVY00000001qGYAQ","false"
"0jiVY00000001qpYAA","FIELD_CUSTOM_VALIDATION_EXCEPTION:CPT Code is required when the related Benefit Type has a category of Clinical:--","0jiVY00000001qpYAA","false"
"0jiVY00000001plYAA","FIELD_CUSTOM_VALIDATION_EXCEPTION:CPT Code is required when the related Benefit Type has a category of Clinical:--","0jiVY00000001plYAA","false"
"0jiVY00000001sBYAQ","FIELD_CUSTOM_VALIDATION_EXCEPTION:CPT Code is required when the related Benefit Type has a category of Clinical:--","0jiVY00000001sBYAQ","false"
"0jiVY00000001snYAA","FIELD_CUSTOM_VALIDATION_EXCEPTION:CPT Code is required when the related Benefit Type has a category of Clinical:--","0jiVY00000001snYAA","false"
"0jiVY00000001shYAA","FIELD_CUSTOM_VALIDATION_EXCEPTION:CPT Code is required when the related Benefit Type has a category of Clinical:--","0jiVY00000001shYAA","false"
