"sf__Id","sf__Error","Id","Status"
"1pgVY000000003DYAQ","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:Status: bad value for restricted picklist field: Cancelled:Status --","1pgVY000000003DYAQ","Cancelled"
"1pgVY000000003EYAQ","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:Status: bad value for restricted picklist field: Cancelled:Status --","1pgVY000000003EYAQ","Cancelled"
"1pgVY000000003FYAQ","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:Status: bad value for restricted picklist field: Cancelled:Status --","1pgVY000000003FYAQ","Cancelled"
"1pgVY000000003GYAQ","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:Status: bad value for restricted picklist field: Cancelled:Status --","1pgVY000000003GYAQ","Cancelled"
"1pgVY000000003HYAQ","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:Status: bad value for restricted picklist field: Cancelled:Status --","1pgVY000000003HYAQ","Cancelled"
"1pgVY000000003IYAQ","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:Status: bad value for restricted picklist field: Cancelled:Status --","1pgVY000000003IYAQ","Cancelled"
"1pgVY000000003JYAQ","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:Status: bad value for restricted picklist field: Cancelled:Status --","1pgVY000000003JYAQ","Cancelled"
"1pgVY000000003KYAQ","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:Status: bad value for restricted picklist field: Cancelled:Status --","1pgVY000000003KYAQ","Cancelled"
"1pgVY000000003LYAQ","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:Status: bad value for restricted picklist field: Cancelled:Status --","1pgVY000000003LYAQ","Cancelled"
"1pgVY000000003MYAQ","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:Status: bad value for restricted picklist field: Cancelled:Status --","1pgVY000000003MYAQ","Cancelled"
"1pgVY000000003NYAQ","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:Status: bad value for restricted picklist field: Cancelled:Status --","1pgVY000000003NYAQ","Cancelled"
"1pgVY000000003OYAQ","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:Status: bad value for restricted picklist field: Cancelled:Status --","1pgVY000000003OYAQ","Cancelled"
"1pgVY000000003PYAQ","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:Status: bad value for restricted picklist field: Cancelled:Status --","1pgVY000000003PYAQ","Cancelled"
"1pgVY000000003QYAQ","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:Status: bad value for restricted picklist field: Cancelled:Status --","1pgVY000000003QYAQ","Cancelled"
"1pgVY000000003RYAQ","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:Status: bad value for restricted picklist field: Cancelled:Status --","1pgVY000000003RYAQ","Cancelled"
"1pgVY000000003SYAQ","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:Status: bad value for restricted picklist field: Cancelled:Status --","1pgVY000000003SYAQ","Cancelled"
"1pgVY000000003TYAQ","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:Status: bad value for restricted picklist field: Cancelled:Status --","1pgVY000000003TYAQ","Cancelled"
"1pgVY000000003UYAQ","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:Status: bad value for restricted picklist field: Cancelled:Status --","1pgVY000000003UYAQ","Cancelled"
"1pgVY000000003VYAQ","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:Status: bad value for restricted picklist field: Cancelled:Status --","1pgVY000000003VYAQ","Cancelled"
