"sf__Id","sf__Error","Id","Status"
"1pgVY000000003HYAQ","FIELD_CUSTOM_VALIDATION_EXCEPTION:Complete Date should not be populated if Status is Not Started, In Progress or Canceled.:--","1pgVY000000003HYAQ","Canceled"
"1pgVY000000003IYAQ","FIELD_CUSTOM_VALIDATION_EXCEPTION:Complete Date should not be populated if Status is Not Started, In Progress or Canceled.:--","1pgVY000000003IYAQ","Canceled"
"1pgVY000000003OYAQ","FIELD_CUSTOM_VALIDATION_EXCEPTION:Complete Date should not be populated if Status is Not Started, In Progress or Canceled.:--","1pgVY000000003OYAQ","Canceled"
"1pgVY000000003SYAQ","FIELD_CUSTOM_VALIDATION_EXCEPTION:Complete Date should not be populated if Status is Not Started, In Progress or Canceled.:--","1pgVY000000003SYAQ","Canceled"
"1pgVY000000003nYAA","FIELD_CUSTOM_VALIDATION_EXCEPTION:Complete Date should not be populated if Status is Not Started, In Progress or Canceled.:--","1pgVY000000003nYAA","Canceled"
"1pgVY000000003oYAA","FIELD_CUSTOM_VALIDATION_EXCEPTION:Complete Date should not be populated if Status is Not Started, In Progress or Canceled.:--","1pgVY000000003oYAA","Canceled"
"1pgVY0000000049YAA","FIELD_CUSTOM_VALIDATION_EXCEPTION:Complete Date should not be populated if Status is Not Started, In Progress or Canceled.:--","1pgVY0000000049YAA","Canceled"
"1pgVY000000004DYAQ","FIELD_CUSTOM_VALIDATION_EXCEPTION:Complete Date should not be populated if Status is Not Started, In Progress or Canceled.:--","1pgVY000000004DYAQ","Canceled"
"1pgVY000000004EYAQ","FIELD_CUSTOM_VALIDATION_EXCEPTION:Complete Date should not be populated if Status is Not Started, In Progress or Canceled.:--","1pgVY000000004EYAQ","Canceled"
"1pgVY000000004FYAQ","FIELD_CUSTOM_VALIDATION_EXCEPTION:Complete Date should not be populated if Status is Not Started, In Progress or Canceled.:--","1pgVY000000004FYAQ","Canceled"
"1pgVY000000004HYAQ","FIELD_CUSTOM_VALIDATION_EXCEPTION:Complete Date should not be populated if Status is Not Started, In Progress or Canceled.:--","1pgVY000000004HYAQ","Canceled"
"1pgVY000000004IYAQ","FIELD_CUSTOM_VALIDATION_EXCEPTION:Complete Date should not be populated if Status is Not Started, In Progress or Canceled.:--","1pgVY000000004IYAQ","Canceled"
"1pgVY000000004JYAQ","FIELD_CUSTOM_VALIDATION_EXCEPTION:Complete Date should not be populated if Status is Not Started, In Progress or Canceled.:--","1pgVY000000004JYAQ","Canceled"
"1pgVY0000000059YAA","FIELD_CUSTOM_VALIDATION_EXCEPTION:Complete Date should not be populated if Status is Not Started, In Progress or Canceled.:--","1pgVY0000000059YAA","Canceled"
"1pgVY000000005GYAQ","FIELD_CUSTOM_VALIDATION_EXCEPTION:Complete Date should not be populated if Status is Not Started, In Progress or Canceled.:--","1pgVY000000005GYAQ","Canceled"
"1pgVY000000005HYAQ","FIELD_CUSTOM_VALIDATION_EXCEPTION:Complete Date should not be populated if Status is Not Started, In Progress or Canceled.:--","1pgVY000000005HYAQ","Canceled"
"1pgVY000000005IYAQ","FIELD_CUSTOM_VALIDATION_EXCEPTION:Complete Date should not be populated if Status is Not Started, In Progress or Canceled.:--","1pgVY000000005IYAQ","Canceled"
"1pgVY000000005KYAQ","FIELD_CUSTOM_VALIDATION_EXCEPTION:Complete Date should not be populated if Status is Not Started, In Progress or Canceled.:--","1pgVY000000005KYAQ","Canceled"
"1pgVY000000005LYAQ","FIELD_CUSTOM_VALIDATION_EXCEPTION:Complete Date should not be populated if Status is Not Started, In Progress or Canceled.:--","1pgVY000000005LYAQ","Canceled"
"1pgVY000000005MYAQ","FIELD_CUSTOM_VALIDATION_EXCEPTION:Complete Date should not be populated if Status is Not Started, In Progress or Canceled.:--","1pgVY000000005MYAQ","Canceled"
"1pgVY000000005WYAQ","FIELD_CUSTOM_VALIDATION_EXCEPTION:Complete Date should not be populated if Status is Not Started, In Progress or Canceled.:--","1pgVY000000005WYAQ","Canceled"
"1pgVY000000005XYAQ","FIELD_CUSTOM_VALIDATION_EXCEPTION:Complete Date should not be populated if Status is Not Started, In Progress or Canceled.:--","1pgVY000000005XYAQ","Canceled"
"1pgVY000000005cYAA","FIELD_CUSTOM_VALIDATION_EXCEPTION:Complete Date should not be populated if Status is Not Started, In Progress or Canceled.:--","1pgVY000000005cYAA","Canceled"
"1pgVY000000005dYAA","FIELD_CUSTOM_VALIDATION_EXCEPTION:Complete Date should not be populated if Status is Not Started, In Progress or Canceled.:--","1pgVY000000005dYAA","Canceled"
"1pgVY000000005eYAA","FIELD_CUSTOM_VALIDATION_EXCEPTION:Complete Date should not be populated if Status is Not Started, In Progress or Canceled.:--","1pgVY000000005eYAA","Canceled"
"1pgVY000000005kYAA","FIELD_CUSTOM_VALIDATION_EXCEPTION:Complete Date should not be populated if Status is Not Started, In Progress or Canceled.:--","1pgVY000000005kYAA","Canceled"
"1pgVY000000005mYAA","FIELD_CUSTOM_VALIDATION_EXCEPTION:Complete Date should not be populated if Status is Not Started, In Progress or Canceled.:--","1pgVY000000005mYAA","Canceled"
"1pgVY000000005nYAA","FIELD_CUSTOM_VALIDATION_EXCEPTION:Complete Date should not be populated if Status is Not Started, In Progress or Canceled.:--","1pgVY000000005nYAA","Canceled"
"1pgVY000000005oYAA","FIELD_CUSTOM_VALIDATION_EXCEPTION:Complete Date should not be populated if Status is Not Started, In Progress or Canceled.:--","1pgVY000000005oYAA","Canceled"
"1pgVY000000005sYAA","FIELD_CUSTOM_VALIDATION_EXCEPTION:Complete Date should not be populated if Status is Not Started, In Progress or Canceled.:--","1pgVY000000005sYAA","Canceled"
