Id,ProgramEnrollmentId,BenefitId,Benefit.Name,Benefit.ProgramId,Benefit.BenefitTypeId,Benefit.IsActive,Benefit.BenefitStatus,Benefit.CPT_Code__c,Benefit.Default_Disbursement_Quantity__c,Benefit.Default_Duration_c__c,Benefit.Housing_Capacity__c,Benefit.Is_a_Housing_Benefit__c,Benefit.Spots_Currently_Filled__c,Benefit.Available_for_Housing__c,Benefit.Available_for_Program_Engagement__c,Benefit.Available_for_Case_Management__c,Benefit.Available_for_Clinical__c,Benefit.Available_for_Peer__c,Benefit.Lifecycle_State__c
0nDVY0000000jwI2AQ,11XVY000000aLac2AE,0jiVY00000002MdYAI,Meal provided - Outreach,11WVY000000GC0P2AW,0jhVY000000001tYAA,false,Active,,1,60,,false,,false,false,false,false,false,
0nDVY0000000jwJ2AQ,11XVY000000aLac2AE,0jiVY00000002MdYAI,Meal provided - Outreach,11WVY000000GC0P2AW,0jhVY000000001tYAA,false,Active,,1,60,,false,,false,false,false,false,false,
0nDVY0000000jwK2AQ,11XVY000000aLac2AE,0jiVY00000002NaYAI,Referral-Source drop-in - Outreach,11WVY000000GC0P2AW,0jhVY000000001qYAA,false,Active,,1,15,,false,,false,false,false,false,false,
0nDVY0000000tqu2AA,11XVY000000aLc52AE,0jiVY00000002CKYAY,Meal provided - Drop-In,11WVY000000GC212AG,0jhVY000000001tYAA,false,Active,,1,60,,false,,false,false,false,false,false,
0nDVY00000009pJ2AQ,11XVY000000aMWq2AM,0jiVY00000002CKYAY,Meal provided - Drop-In,11WVY000000GC212AG,0jhVY000000001tYAA,false,Active,,1,60,,false,,false,false,false,false,false,
0nDVY00000009py2AA,11XVY000000aMWq2AM,0jiVY00000002JfYAI,Referral-Substance abuse counseling provider or Substance use support (not cli - Drop-In,11WVY000000GC212AG,0jhVY000000001qYAA,false,Active,,1,15,,false,,false,false,false,false,false,
0nDVY00000009pz2AA,11XVY000000aMWq2AM,0jiVY00000002BnYAI,Housing Referral - Drop-In,11WVY000000GC212AG,0jhVY000000001qYAA,false,Active,,1,15,,false,,false,false,false,false,false,
0nDVY00000009q02AA,11XVY000000aMWq2AM,0jiVY00000002JbYAI,Referral-Mental/behavioral health provider - Drop-In,11WVY000000GC212AG,0jhVY000000001rYAA,false,Active,H0038,1,15,,false,,false,false,false,false,false,
0nDVY00000009q12AA,11XVY000000aMWq2AM,0jiVY00000002JgYAI,Referral-Workforce or employment agency - Drop-In,11WVY000000GC212AG,0jhVY000000001qYAA,false,Active,,1,15,,false,,false,false,false,false,false,
0nDVY00000009q22AA,11XVY000000aMWq2AM,0jiVY00000002CCYAY,Legal Referral - Drop-In,11WVY000000GC212AG,0jhVY000000001qYAA,false,Active,,1,15,,false,,false,false,false,false,false,
