"Name","ProgramId","BenefitTypeId","IsActive","BenefitStatus","CPT_Code__c","Default_Disbursement_Quantity__c","Default_Duration_c__c","Housing_Capacity__c","Is_a_Housing_Benefit__c","Spots_Currently_Filled__c","Available_for_Housing__c","Available_for_Program_Engagement__c","Available_for_Case_Management__c","Available_for_Clinical__c","Available_for_Peer__c","Lifecycle_State__c"
"Arrested-Outcome - Outreach","11WVY000005ea9y2AA","0jhVY000000001dYAA","true","Active","H0038","1","","","false","","false","false","false","false","false","Active"
"Mental health general support (not clinical counseling) - Drop-In","11WVY000005ea9y2AA","0jhVY000000001dYAA","true","Active","H0038","1","60","","false","","false","false","false","false","false","Active"
"Action plan created - Drop-In","11WVY000005ea9y2AA","0jhVY000000001dYAA","true","Active","H0038","1","60","","false","","false","false","false","false","false","Active"
"Employment-General support - Drop-In","11WVY000005ea9y2AA","0jhVY000000001gYAA","true","Active","H0038","1","60","","false","","false","false","false","false","false","Active"
"Participant attended court session - Outreach","11WVY000005ea9y2AA","0jhVY000000001dYAA","true","Active","H0038","1","60","","false","","false","false","false","false","false","Active"
"Family engagement general support (not clinical counseling) - Drop-In","11WVY000005ea9y2AA","0jhVY000000001dYAA","true","Active","H0038","1","60","","false","","false","false","false","false","false","Active"
"Housing-Tenant-based voucher support - Drop-In","11WVY000005ea9y2AA","0jhVY000000001mYAA","true","Active","H0038","1","60","","false","","false","false","false","false","false","Active"
"Interaction with participant's school - Drop-In","11WVY000005ea9y2AA","0jhVY000000001dYAA","true","Active","H0038","1","60","","false","","false","false","false","false","false","Active"
"LEAD Conversation - Outreach","11WVY000005ea9y2AA","0jhVY000000001dYAA","true","Active","H0038","1","","","false","","false","false","false","false","false","Active"
"Life skills-Not covered by other service - Outreach","11WVY000005ea9y2AA","0jhVY000000001dYAA","true","Active","H0038","1","60","","false","","false","false","false","false","false","Active"
"LGBTQ+ support - Drop-In","11WVY000005ea9y2AA","0jhVY000000001dYAA","true","Active","H0038","1","60","","false","","false","false","false","false","false","Active"
"CE Referral - Outreach","11WVY000005ea9y2AA","0jhVY000000001qYAA","true","Active","H0038","1","15","","false","","false","false","false","false","false","Active"
"PEAK Application Completed - Drop-In","11WVY000005ea9y2AA","0jhVY000000001dYAA","true","Active","H0038","1","","","false","","false","false","false","false","false","Active"
"Life skills-Not covered by other service - Drop-In","11WVY000005ea9y2AA","0jhVY000000001dYAA","true","Active","H0038","1","60","","false","","false","false","false","false","false","Active"
"Case management activity with participant - Drop-In","11WVY000005ea9y2AA","0jhVY000000001dYAA","true","Active","H0038","1","60","","false","","false","false","false","false","false","Active"
"Newly housed-Outcome - Drop-In","11WVY000005ea9y2AA","0jhVY000000001kYAA","true","Active","H0038","1","0","","false","","false","false","false","false","false","Active"
"Prosocial or recreational activity - Outreach","11WVY000005ea9y2AA","0jhVY000000001pYAA","true","Active","H0038","1","60","","false","","false","false","false","false","false","Active"
"Referral-Public benefits agency (SNAP, SSI, DIS) - Drop-In","11WVY000005ea9y2AA","0jhVY000000001qYAA","true","Active","H0038","1","15","","false","","false","false","false","false","false","Active"
"Employment-Job search support - Outreach","11WVY000005ea9y2AA","0jhVY000000001gYAA","true","Active","H0038","1","60","","false","","false","false","false","false","false","Active"
"Legal Referral - Outreach","11WVY000005ea9y2AA","0jhVY000000001qYAA","true","Active","H0038","1","15","","false","","false","false","false","false","false","Active"
"Referral-Public benefits agency (SNAP, SSI, DIS) - Outreach","11WVY000005ea9y2AA","0jhVY000000001qYAA","true","Active","H0038","1","15","","false","","false","false","false","false","false","Active"
"Referral-Sexual health services or testing provider - Drop-In","11WVY000005ea9y2AA","0jhVY000000001qYAA","true","Active","H0038","1","15","","false","","false","false","false","false","false","Active"
"Referral-Health-Dental provider - Outreach","11WVY000005ea9y2AA","0jhVY000000001qYAA","true","Active","H0038","1","15","","false","","false","false","false","false","false","Active"
"Housing-Move in assistance - Drop-In","11WVY000005ea9y2AA","0jhVY000000001mYAA","true","Active","H0038","1","60","","false","","false","false","false","false","false","Active"
"Attempt to contact participant - Drop-In","11WVY000005ea9y2AA","0jhVY000000001dYAA","true","Active","H0038","1","15","","false","","false","false","false","false","false","Active"
"Self-care general support - Outreach","11WVY000005ea9y2AA","0jhVY000000001dYAA","true","Active","H0038","1","60","","false","","false","false","false","false","false","Active"
"Personal hygiene general support - Drop-In","11WVY000005ea9y2AA","0jhVY000000001dYAA","true","Active","H0038","1","60","","false","","false","false","false","false","false","Active"
"Meal provided - Drop-In","11WVY000005ea9y2AA","0jhVY000000001tYAA","true","Active","H0038","1","60","","false","","false","false","false","false","false","Active"
"Clinical counseling-Group substance use support - Drop-In","11WVY000005ea9y2AA","0jhVY000000001eYAA","true","Active","H0038","1","60","","false","","false","false","false","false","false","Active"
"Sexual Health Referral - Drop-In","11WVY000005ea9y2AA","0jhVY000000001qYAA","true","Active","H0038","1","15","","false","","false","false","false","false","false","Active"
"Shelter referral-Outreach","11WVY000005ea9y2AA","0jhVY000000001dYAA","true","Active","H0038","","","","false","","false","false","false","false","false","Active"
"Group service-Cooking/meal preparation support - Drop-In","11WVY000005ea9y2AA","0jhVY000000001jYAA","true","Active","H0038","1","60","","false","","false","false","false","false","false","Active"
"Group service-Games - Drop-In","11WVY000005ea9y2AA","0jhVY000000001jYAA","true","Active","H0038","1","60","","false","","false","false","false","false","false","Active"
"Interaction with participant's school - Outreach","11WVY000005ea9y2AA","0jhVY000000001dYAA","true","Active","H0038","1","60","","false","","false","false","false","false","false","Active"
"SOP Contact - Outreach","11WVY000005ea9y2AA","0jhVY000000001dYAA","true","Active","H0038","1","60","","false","","false","false","false","false","false","Active"
"Outreach contact to agency/organization/group - Outreach","11WVY000005ea9y2AA","0jhVY000000001dYAA","true","Active","H0038","1","60","","false","","false","false","false","false","false","Active"
"Newly Employed-Outcome - Drop-In","11WVY000005ea9y2AA","0jhVY000000001gYAA","true","Active","H0038","1","","","false","","false","false","false","false","false","Active"
"Group-Employment - Drop-In","11WVY000005ea9y2AA","0jhVY000000001gYAA","true","Active","H0038","1","","","false","","false","false","false","false","false","Active"
"DI-Case Management - Drop-In","11WVY000005ea9y2AA","0jhVY000000001dYAA","true","Active","H0038","1","","","false","","false","false","false","false","false","Active"
"Meal provided - Outreach","11WVY000005ea9y2AA","0jhVY000000001tYAA","true","Active","H0038","1","60","","false","","false","false","false","false","false","Active"
"Health-First aid or hygiene supply provided - Outreach","11WVY000005ea9y2AA","0jhVY000000001tYAA","true","Active","H0038","1","15","","false","","false","false","false","false","false","Active"
"Other Referral - Drop-In","11WVY000005ea9y2AA","0jhVY000000001qYAA","true","Active","H0038","1","15","","false","","false","false","false","false","false","Active"
"Attempt to contact participant - Outreach","11WVY000005ea9y2AA","0jhVY000000001dYAA","true","Active","H0038","1","15","","false","","false","false","false","false","false","Active"
"Housing application support - Drop-In","11WVY000005ea9y2AA","0jhVY000000001lYAA","true","Active","H0038","1","60","","false","","false","false","false","false","false","Active"
"Housing search support - Drop-In","11WVY000005ea9y2AA","0jhVY000000001lYAA","true","Active","H0038","1","60","","false","","false","false","false","false","false","Active"
"LGBTQ Referral - Drop-In","11WVY000005ea9y2AA","0jhVY000000001qYAA","true","Active","H0038","1","60","","false","","false","false","false","false","false","Active"
"Completed CE - Outreach","11WVY000005ea9y2AA","0jhVY000000001lYAA","true","Active","H0038","1","60","","false","","false","false","false","false","false","Active"
"GED/Education Class (4 hrs) - Drop-In","11WVY000005ea9y2AA","0jhVY000000001fYAA","true","Active","H0038","1","240","","false","","false","false","false","false","false","Active"
"Health-Medical appointment-Offsite - Drop-In","11WVY000005ea9y2AA","0jhVY000000001pYAA","true","Active","H0038","1","60","","false","","false","false","false","false","false","Active"
"Employment-Job retention support - Outreach","11WVY000005ea9y2AA","0jhVY000000001gYAA","true","Active","H0038","1","60","","false","","false","false","false","false","false","Active"
"Transportation-Bus pass or ride provided - Outreach","11WVY000005ea9y2AA","0jhVY000000001dYAA","true","Active","H0038","1","15","","false","","false","false","false","false","false","Active"
"Visited Deacons - Outreach","11WVY000005ea9y2AA","0jhVY000000001dYAA","true","Active","H0038","1","","","false","","false","false","false","false","false","Active"
"Youth Outreach Contact - Outreach","11WVY000005ea9y2AA","0jhVY000000001dYAA","true","Active","H0038","1","","","false","","false","false","false","false","false","Active"
"Case management activity without participant present - Outreach","11WVY000005ea9y2AA","0jhVY000000001dYAA","true","Active","H0038","1","60","","false","","false","false","false","false","false","Active"
"Housing-Landlord interview or visit support - Drop-In","11WVY000005ea9y2AA","0jhVY000000001mYAA","true","Active","H0038","1","60","","false","","false","false","false","false","false","Active"
"Participant volunteer opportunity - Outreach","11WVY000005ea9y2AA","0jhVY000000001dYAA","true","Active","H0038","1","60","","false","","false","false","false","false","false","Active"
"Actively seeking employment-Outcome - Outreach","11WVY000005ea9y2AA","0jhVY000000001gYAA","true","Active","H0038","1","0","","false","","false","false","false","false","false","Active"
"Housing application support - Outreach","11WVY000005ea9y2AA","0jhVY000000001lYAA","true","Active","H0038","1","60","","false","","false","false","false","false","false","Active"
"Recreational Activity - Drop-In","11WVY000005ea9y2AA","0jhVY000000001pYAA","true","Active","H0038","1","60","","false","","false","false","false","false","false","Active"
"Supportive Employment - Group - Drop-In","11WVY000005ea9y2AA","0jhVY000000001gYAA","true","Active","H0038","1","60","","false","","false","false","false","false","false","Active"
"Group service-Field trip or outing - Drop-In","11WVY000005ea9y2AA","0jhVY000000001jYAA","true","Active","H0038","1","60","","false","","false","false","false","false","false","Active"
"Referral-Education program or institution - Drop-In","11WVY000005ea9y2AA","0jhVY000000001qYAA","true","Active","H0038","1","15","","false","","false","false","false","false","false","Active"
"Outreach contact to agency/organization/group - Drop-In","11WVY000005ea9y2AA","0jhVY000000001dYAA","true","Active","H0038","1","60","","false","","false","false","false","false","false","Active"
"Self-care general support - Drop-In","11WVY000005ea9y2AA","0jhVY000000001dYAA","true","Active","H0038","1","60","","false","","false","false","false","false","false","Active"
"Reduced Substance Use-Outcome - Drop-In","11WVY000005ea9y2AA","0jhVY000000001rYAA","true","Active","H0038","1","","","false","","false","false","false","false","false","Active"
"Transportation-Training or information provided - Outreach","11WVY000005ea9y2AA","0jhVY000000001dYAA","true","Active","H0038","1","60","","false","","false","false","false","false","false","Active"
"BCAP Referral - Outreach","11WVY000005ea9y2AA","0jhVY000000001qYAA","true","Active","H0038","1","","","false","","false","false","false","false","false","Active"
"Transportation-Bus pass or ride provided - Drop-In","11WVY000005ea9y2AA","0jhVY000000001dYAA","true","Active","H0038","1","15","","false","","false","false","false","false","false","Active"
"ID and vital documents secured-Outcome - Drop-In","11WVY000005ea9y2AA","0jhVY000000001dYAA","true","Active","H0038","1","0","","false","","false","false","false","false","false","Active"
"Sexual health supply provided - Outreach","11WVY000005ea9y2AA","0jhVY000000001tYAA","true","Active","H0038","1","15","","false","","false","false","false","false","false","Active"
"Medical evaluation-Onsite - Drop-In","11WVY000005ea9y2AA","0jhVY000000001pYAA","true","Active","H0038","1","60","","false","","false","false","false","false","false","Active"
"Transportation Referral - Drop-In","11WVY000005ea9y2AA","0jhVY000000001qYAA","true","Active","H0038","1","15","","false","","false","false","false","false","false","Active"
"Lost Housing-Outcome - Outreach","11WVY000005ea9y2AA","0jhVY000000001kYAA","true","Active","H0038","1","0","","false","","false","false","false","false","false","Active"
"Medical Assistance - Drop-In","11WVY000005ea9y2AA","0jhVY000000001pYAA","true","Active","H0038","1","60","","false","","false","false","false","false","false","Active"
"Deacons Closet Referral - Outreach","11WVY000005ea9y2AA","0jhVY000000001qYAA","true","Active","H0038","1","","","false","","false","false","false","false","false","Active"
"Mail Referral - Drop-In","11WVY000005ea9y2AA","0jhVY000000001qYAA","true","Active","H0038","1","15","","false","","false","false","false","false","false","Active"
"Referral-Equine therapy - Drop-In","11WVY000005ea9y2AA","0jhVY000000001rYAA","true","Active","H0038","1","15","","false","","false","false","false","false","false","Active"
"Public benefits support - Outreach","11WVY000005ea9y2AA","0jhVY000000001dYAA","true","Active","H0038","1","60","","false","","false","false","false","false","false","Active"
"Financial Referral - Drop-In","11WVY000005ea9y2AA","0jhVY000000001qYAA","true","Active","H0038","1","15","","false","","false","false","false","false","false","Active"
"Visited HOPE - Outreach","11WVY000005ea9y2AA","0jhVY000000001dYAA","true","Active","H0038","1","","","false","","false","false","false","false","false","Active"
"Angel Initiative Referral - Outreach","11WVY000005ea9y2AA","0jhVY000000001qYAA","true","Active","H0038","1","","","false","","false","false","false","false","false","Active"
"Education-General support - Drop-In","11WVY000005ea9y2AA","0jhVY000000001fYAA","true","Active","H0038","1","60","","false","","false","false","false","false","false","Active"
"Referral-LGBTQ+ support provider - Drop-In","11WVY000005ea9y2AA","0jhVY000000001qYAA","true","Active","H0038","1","15","","false","","false","false","false","false","false","Active"
"Visited Harvest of Hope - Outreach","11WVY000005ea9y2AA","0jhVY000000001dYAA","true","Active","H0038","1","","","false","","false","false","false","false","false","Active"
