Id,Name
0jiVY0000000421YAA,Crisis Intervention
0jiVY0000000422YAA,Outreach Engagement
0jiVY0000000423YAA,Screening/Assessment
0jiVY0000000424YAA,Drop-In Day
0jiVY000000043dYAA,Arrested-Outcome - Outreach
0jiVY000000043eYAA,Mental health general support (not clinical counseling) - Drop-In
0jiVY000000043fYAA,Action plan created - Drop-In
0jiVY000000043gYAA,Employment-General support - Drop-In
0jiVY000000043hYAA,Participant attended court session - Outreach
0jiVY000000043iYAA,Family engagement general support (not clinical counseling) - Drop-In
0jiVY000000043jYAA,Housing-Tenant-based voucher support - Drop-In
0jiVY000000043kYAA,Interaction with participant's school - Drop-In
0jiVY000000043lYAA,LEAD Conversation - Outreach
0jiVY000000043mYAA,Life skills-Not covered by other service - Outreach
0jiVY000000043nYAA,LGBTQ+ support - Drop-In
0jiVY000000043oYAA,CE Referral - Outreach
0jiVY000000043pYAA,PEAK Application Completed - Drop-In
0jiVY000000043qYAA,Life skills-Not covered by other service - Drop-In
0jiVY000000043rYAA,Case management activity with participant - Drop-In
0jiVY000000043sYAA,Newly housed-Outcome - Drop-In
0jiVY000000043tYAA,Prosocial or recreational activity - Outreach
0jiVY000000043uYAA,"Referral-Public benefits agency (SNAP, SSI, DIS) - Drop-In"
0jiVY000000043vYAA,Employment-Job search support - Outreach
0jiVY000000043wYAA,Legal Referral - Outreach
0jiVY000000043xYAA,"Referral-Public benefits agency (SNAP, SSI, DIS) - Outreach"
0jiVY000000043yYAA,Referral-Sexual health services or testing provider - Drop-In
0jiVY000000043zYAA,Referral-Health-Dental provider - Outreach
0jiVY0000000440YAA,Housing-Move in assistance - Drop-In
0jiVY0000000441YAA,Attempt to contact participant - Drop-In
0jiVY0000000442YAA,Self-care general support - Outreach
0jiVY0000000443YAA,Personal hygiene general support - Drop-In
0jiVY0000000444YAA,Meal provided - Drop-In
0jiVY0000000445YAA,Clinical counseling-Group substance use support - Drop-In
0jiVY0000000446YAA,Sexual Health Referral - Drop-In
0jiVY0000000447YAA,Shelter referral-Outreach
0jiVY0000000448YAA,Group service-Cooking/meal preparation support - Drop-In
0jiVY0000000449YAA,Group service-Games - Drop-In
0jiVY000000044AYAQ,Interaction with participant's school - Outreach
0jiVY000000044BYAQ,SOP Contact - Outreach
0jiVY000000044CYAQ,Outreach contact to agency/organization/group - Outreach
0jiVY000000044DYAQ,Newly Employed-Outcome - Drop-In
0jiVY000000044EYAQ,Group-Employment - Drop-In
0jiVY000000044FYAQ,DI-Case Management - Drop-In
0jiVY000000044GYAQ,Meal provided - Outreach
0jiVY000000044HYAQ,Health-First aid or hygiene supply provided - Outreach
0jiVY000000044IYAQ,Other Referral - Drop-In
0jiVY000000044JYAQ,Attempt to contact participant - Outreach
0jiVY000000044KYAQ,Housing application support - Drop-In
0jiVY000000044LYAQ,Housing search support - Drop-In
0jiVY000000044MYAQ,LGBTQ Referral - Drop-In
0jiVY000000044NYAQ,Completed CE - Outreach
0jiVY000000044OYAQ,GED/Education Class (4 hrs) - Drop-In
0jiVY000000044PYAQ,Health-Medical appointment-Offsite - Drop-In
0jiVY000000044QYAQ,Employment-Job retention support - Outreach
0jiVY000000044RYAQ,Transportation-Bus pass or ride provided - Outreach
0jiVY000000044SYAQ,Visited Deacons - Outreach
0jiVY000000044TYAQ,Youth Outreach Contact - Outreach
0jiVY000000044UYAQ,Case management activity without participant present - Outreach
0jiVY000000044VYAQ,Housing-Landlord interview or visit support - Drop-In
0jiVY000000044WYAQ,Participant volunteer opportunity - Outreach
0jiVY000000044XYAQ,Actively seeking employment-Outcome - Outreach
0jiVY000000044YYAQ,Housing application support - Outreach
0jiVY000000044ZYAQ,Recreational Activity - Drop-In
0jiVY000000044aYAA,Supportive Employment - Group - Drop-In
0jiVY000000044bYAA,Group service-Field trip or outing - Drop-In
0jiVY000000044cYAA,Referral-Education program or institution - Drop-In
0jiVY000000044dYAA,Outreach contact to agency/organization/group - Drop-In
0jiVY000000044eYAA,Self-care general support - Drop-In
0jiVY000000044fYAA,Reduced Substance Use-Outcome - Drop-In
0jiVY000000044gYAA,Transportation-Training or information provided - Outreach
0jiVY000000044hYAA,BCAP Referral - Outreach
0jiVY000000044iYAA,Transportation-Bus pass or ride provided - Drop-In
0jiVY000000044jYAA,ID and vital documents secured-Outcome - Drop-In
0jiVY000000044kYAA,Sexual health supply provided - Outreach
0jiVY000000044lYAA,Medical evaluation-Onsite - Drop-In
0jiVY000000044mYAA,Transportation Referral - Drop-In
0jiVY000000044nYAA,Lost Housing-Outcome - Outreach
0jiVY000000044oYAA,Medical Assistance - Drop-In
0jiVY000000044pYAA,Deacons Closet Referral - Outreach
0jiVY000000044qYAA,Mail Referral - Drop-In
0jiVY000000044rYAA,Referral-Equine therapy - Drop-In
0jiVY000000044sYAA,Public benefits support - Outreach
0jiVY000000044tYAA,Financial Referral - Drop-In
0jiVY000000044uYAA,Visited HOPE - Outreach
0jiVY000000044vYAA,Angel Initiative Referral - Outreach
0jiVY000000044wYAA,Education-General support - Drop-In
0jiVY000000044xYAA,Referral-LGBTQ+ support provider - Drop-In
0jiVY000000044yYAA,Visited Harvest of Hope - Outreach
0jiVY000000044zYAA,Housing: Level 3 - Drop-In
0jiVY0000000450YAA,Conflict resolution general support - Outreach
0jiVY0000000451YAA,Housing Referral - Outreach
0jiVY0000000452YAA,Health-First aid or hygiene supply provided - Drop-In
0jiVY0000000453YAA,Referral-Housing program: Non-TGTHR - Drop-In
0jiVY0000000454YAA,Referral-Workforce or employment agency - Drop-In
0jiVY0000000455YAA,Mail Referral - Outreach
0jiVY0000000456YAA,Referral-Workforce or employment agency - Outreach
0jiVY0000000457YAA,Basic Needs/Supplies - Outreach
0jiVY0000000458YAA,Legal Referral - Drop-In
0jiVY0000000459YAA,Referral-Education program or institution - Outreach
0jiVY000000045AYAQ,Drop-in Facility Use - Outreach
0jiVY000000045BYAQ,Mental Health Engagement-Outcome - Outreach
0jiVY000000045CYAQ,Prosocial or recreational activity - Drop-In
0jiVY000000045DYAQ,Family Coaching - Drop-In
0jiVY000000045EYAQ,Clinical counseling-Mental health check-in - Drop-In
0jiVY000000045FYAQ,Housing-Lease education - Outreach
0jiVY000000045GYAQ,Group service-Peer support - Drop-In
0jiVY000000045HYAQ,People's Clinic Referral - Outreach
0jiVY000000045IYAQ,Sexual health testing-Onsite - Drop-In
0jiVY000000045JYAQ,"Homelessness/Crisis (BCC, Feeds, etc) Referral - Outreach"
0jiVY000000045KYAQ,Already in CE - Outreach
0jiVY000000045LYAQ,Group service-LGBTQ+ support - Drop-In
0jiVY000000045MYAQ,Employment-Job retention support - Drop-In
0jiVY000000045NYAQ,Referral-Health-Medical provider - Outreach
0jiVY000000045OYAQ,Family engagement general support (not clinical counseling) - Outreach
0jiVY000000045PYAQ,Health-General sexual health support - Drop-In
0jiVY000000045QYAQ,Education-GED tutoring or homework - Drop-In
0jiVY000000045RYAQ,Education-GED testing - Drop-In
