Id,Name,ProgramId
0jiVY00000001KIYAY,Clinical counseling-Crisis intervention - Drop-In,11WVY000000GC212AG
0jiVY00000002A7YAI,Action plan created - Drop-In,11WVY000000GC212AG
0jiVY00000002A8YAI,Actively seeking employment-Outcome - Drop-In,11WVY000000GC212AG
0jiVY00000002A9YAI,Actively Using-Outcome - Drop-In,11WVY000000GC212AG
0jiVY00000002AAYAY,After Care - Drop-In,11WVY000000GC212AG
0jiVY00000002ACYAY,Already in CE - Drop-In,11WVY000000GC212AG
0jiVY00000002AEYAY,Apartment Hygiene - Drop-In,11WVY000000GC212AG
0jiVY00000002AFYAY,Arrested-Outcome - Drop-In,11WVY000000GC212AG
0jiVY00000002AGYAY,Attempt to contact participant - Drop-In,11WVY000000GC212AG
0jiVY00000002AHYAY,Basic Needs/Supplies - Drop-In,11WVY000000GC212AG
0jiVY00000002AIYAY,BCAP Referral - Drop-In,11WVY000000GC212AG
0jiVY00000002AJYAY,Benefits - Drop-In,11WVY000000GC212AG
0jiVY00000002AKYAY,Benefits: Level 3 - Drop-In,11WVY000000GC212AG
0jiVY00000002ALYAY,Budgeting and financial management-General support - Drop-In,11WVY000000GC212AG
0jiVY00000002AMYAY,Case management activity with participant - Drop-In,11WVY000000GC212AG
0jiVY00000002ANYAY,Case management activity without participant present - Drop-In,11WVY000000GC212AG
0jiVY00000002AOYAY,CE Referral - Drop-In,11WVY000000GC212AG
0jiVY00000002APYAY,CHAFEE - Drop-In,11WVY000000GC212AG
0jiVY00000002AQYAY,Chase House-Free time - Drop-In,11WVY000000GC212AG
0jiVY00000002ARYAY,Clinical counseling-Family therapy - Drop-In,11WVY000000GC212AG
0jiVY00000002ASYAY,Clinical counseling-Group substance use support - Drop-In,11WVY000000GC212AG
0jiVY00000002ATYAY,Clinical counseling-Group therapy - Drop-In,11WVY000000GC212AG
0jiVY00000002AUYAY,Clinical counseling-Individual session - Drop-In,11WVY000000GC212AG
0jiVY00000002AVYAY,Clinical counseling-Mental health check-in - Drop-In,11WVY000000GC212AG
0jiVY00000002AWYAY,Clinical Referral - Drop-In,11WVY000000GC212AG
0jiVY00000002AXYAY,Community Clean Up - Drop-In,11WVY000000GC212AG
0jiVY00000002AYYAY,Completed CE - Drop-In,11WVY000000GC212AG
0jiVY00000002AaYAI,Conflict resolution general support - Drop-In,11WVY000000GC212AG
0jiVY00000002AbYAI,Conflict resolution or mediation training (formal training) - Drop-In,11WVY000000GC212AG
0jiVY00000002AdYAI,Continued School Engagement-Outcome - Drop-In,11WVY000000GC212AG
0jiVY00000002AeYAI,Cooking/meal preparation support - Drop-In,11WVY000000GC212AG
0jiVY00000002AfYAI,Counseling-Career - Drop-In,11WVY000000GC212AG
0jiVY00000002AgYAI,Creative - Drop-In,11WVY000000GC212AG
0jiVY00000002AhYAI,Creative expression activity - Drop-In,11WVY000000GC212AG
0jiVY00000002AiYAI,Deacons Closet Referral - Drop-In,11WVY000000GC212AG
0jiVY00000002AjYAI,Dental Assistance - Drop-In,11WVY000000GC212AG
0jiVY00000002AkYAI,DHHS Referral - Drop-In,11WVY000000GC212AG
0jiVY00000002AlYAI,DI-Case Management - Drop-In,11WVY000000GC212AG
0jiVY00000002AmYAI,Drop-in Facility Use - Drop-In,11WVY000000GC212AG
0jiVY00000002AnYAI,Drop-in Mail Pickup - Drop-In,11WVY000000GC212AG
0jiVY00000002AqYAI,Education-GED tutoring or homework - Drop-In,11WVY000000GC212AG
0jiVY00000002ArYAI,Education-General support - Drop-In,11WVY000000GC212AG
0jiVY00000002AtYAI,Emergency financial assistance provided - Drop-In,11WVY000000GC212AG
0jiVY00000002AuYAI,Employment-General support - Drop-In,11WVY000000GC212AG
0jiVY00000002AvYAI,Employment-Job readiness training - Drop-In,11WVY000000GC212AG
0jiVY00000002AwYAI,Employment-Job retention support - Drop-In,11WVY000000GC212AG
0jiVY00000002AxYAI,Employment-Job search support - Drop-In,11WVY000000GC212AG
0jiVY00000002AyYAI,Employment-Job skills training (job-specific skills) - Drop-In,11WVY000000GC212AG
0jiVY00000002AzYAI,Employment: Level 3 - Drop-In,11WVY000000GC212AG
0jiVY00000002B0YAI,Equine Therapy - Drop-In,11WVY000000GC212AG
0jiVY00000002B1YAI,Equine therapy session - Drop-In,11WVY000000GC212AG
0jiVY00000002B2YAI,ESA support - Drop-In,11WVY000000GC212AG
0jiVY00000002B4YAI,Family Coaching - Drop-In,11WVY000000GC212AG
0jiVY00000002B5YAI,Family Coaching Referral - Drop-In,11WVY000000GC212AG
0jiVY00000002B6YAI,Family engagement general support (not clinical counseling) - Drop-In,11WVY000000GC212AG
0jiVY00000002B7YAI,Financial Referral - Drop-In,11WVY000000GC212AG
0jiVY00000002B9YAI,GED Obtained at The Source - Drop-In,11WVY000000GC212AG
0jiVY00000002BAYAY,GED/Education Class (2 hrs) - Drop-In,11WVY000000GC212AG
0jiVY00000002BBYAY,GED/Education Class (3 hrs) - Drop-In,11WVY000000GC212AG
0jiVY00000002BCYAY,GED/Education Class (4 hrs) - Drop-In,11WVY000000GC212AG
0jiVY00000002BIYAY,Group service-BIPOC support - Drop-In,11WVY000000GC212AG
0jiVY00000002BJYAY,Group service-Cooking/meal preparation support - Drop-In,11WVY000000GC212AG
0jiVY00000002BKYAY,Group service-Creative explorations - Drop-In,11WVY000000GC212AG
0jiVY00000002BLYAY,Group service-Field trip or outing - Drop-In,11WVY000000GC212AG
0jiVY00000002BMYAY,Group service-Games - Drop-In,11WVY000000GC212AG
0jiVY00000002BNYAY,Group service-LGBTQ+ support - Drop-In,11WVY000000GC212AG
0jiVY00000002BOYAY,Group Service-Life Skills - Drop-In,11WVY000000GC212AG
0jiVY00000002BPYAY,Group service-Peer support - Drop-In,11WVY000000GC212AG
0jiVY00000002BQYAY,Group service-Prosocial or recreational activity on-site - Drop-In,11WVY000000GC212AG
0jiVY00000002BRYAY,Group service-Sexual health support - Drop-In,11WVY000000GC212AG
0jiVY00000002BSYAY,Group service-Tenant association - Drop-In,11WVY000000GC212AG
0jiVY00000002BVYAY,Group-Employment - Drop-In,11WVY000000GC212AG
0jiVY00000002BWYAY,Group-Mental Health - Drop-In,11WVY000000GC212AG
0jiVY00000002BXYAY,Harm Reduction Kit - Drop-In,11WVY000000GC212AG
0jiVY00000002BYYAY,Harvest of Hope Referral - Drop-In,11WVY000000GC212AG
0jiVY00000002BZYAY,Health First Colorado Referral - Drop-In,11WVY000000GC212AG
0jiVY00000002BaYAI,Health-First aid or hygiene supply provided - Drop-In,11WVY000000GC212AG
0jiVY00000002BbYAI,Health-General sexual health support - Drop-In,11WVY000000GC212AG
0jiVY00000002BcYAI,Health-Medical appointment-Offsite - Drop-In,11WVY000000GC212AG
0jiVY00000002BdYAI,Health-Medical appointment-Onsite - Drop-In,11WVY000000GC212AG
0jiVY00000002BeYAI,"Hep C Kits (condoms, lube, etc) - Drop-In",11WVY000000GC212AG
0jiVY00000002BfYAI,Hitchhikers Guide to Safe Sex - Drop-In,11WVY000000GC212AG
