Id,Name,NPSP_ID__c,IsActive,Available_for_Housing__c,Available_for_Program_Engagement__c,Available_for_Case_Management__c,Available_for_Clinical__c,Available_for_Peer__c
0jiVY00000001pMYAQ,Action plan created - 1440,a0e4M00000A2WsPQAV-1440,true,false,false,false,false,false
0jiVY00000001f0YAA,Action plan created - Chase,a0e4M00000A2WsPQAV-Chase,true,false,false,false,false,false
0jiVY00000002A7YAI,Action plan created - Drop-In,a0e4M00000A2WsPQAV-Drop-In,true,false,false,false,false,false
0jiVY00000002KQYAY,Action plan created - Outreach,a0e4M00000A2WsPQAV-Outreach,true,false,false,false,false,false
0jiVY00000001tIYAQ,Action plan created - Shelter,a0e4M00000A2WsPQAV-Shelter,true,false,false,false,false,false
0jiVY00000001KLYAY,Action plan created - TLP,a0e4M00000A2WsPQAV-TLP,true,false,false,false,false,false
0jiVY00000001pNYAQ,Actively seeking employment-Outcome - 1440,a0e61000006JOVdAAO-1440,true,false,false,false,false,false
0jiVY00000001f1YAA,Actively seeking employment-Outcome - Chase,a0e61000006JOVdAAO-Chase,true,false,false,false,false,false
0jiVY00000002A8YAI,Actively seeking employment-Outcome - Drop-In,a0e61000006JOVdAAO-Drop-In,true,false,false,false,false,false
0jiVY00000002jkYAA,Actively seeking employment-Outcome - Nest 56,a0e61000006JOVdAAO-Nest 56,true,false,false,false,false,false
0jiVY00000002KRYAY,Actively seeking employment-Outcome - Outreach,a0e61000006JOVdAAO-Outreach,true,false,false,false,false,false
0jiVY00000001tJYAQ,Actively seeking employment-Outcome - Shelter,a0e61000006JOVdAAO-Shelter,true,false,false,false,false,false
0jiVY00000001KMYAY,Actively seeking employment-Outcome - TLP,a0e61000006JOVdAAO-TLP,true,false,false,false,false,false
0jiVY00000002KYYAY,Arrested-Outcome - Outreach,a0e61000006JOU9AAO-Outreach,true,false,false,false,false,false
0jiVY00000001pVYAQ,Attempt to contact participant - 1440,a0e61000003htBjAAI-1440,true,false,false,false,false,false
0jiVY00000001f9YAA,Attempt to contact participant - Chase,a0e61000003htBjAAI-Chase,true,false,false,false,false,false
0jiVY00000002AGYAY,Attempt to contact participant - Drop-In,a0e61000003htBjAAI-Drop-In,true,false,false,false,false,false
0jiVY00000002jjYAA,Attempt to contact participant - Nest 56,a0e61000003htBjAAI-Nest 56,true,false,false,false,false,false
0jiVY00000002KZYAY,Attempt to contact participant - Outreach,a0e61000003htBjAAI-Outreach,true,false,false,false,false,false
0jiVY00000001tRYAQ,Attempt to contact participant - Shelter,a0e61000003htBjAAI-Shelter,true,false,false,false,false,false
0jiVY00000001KUYAY,Attempt to contact participant - TLP,a0e61000003htBjAAI-TLP,true,false,false,false,false,false
0jiVY00000002KaYAI,Basic Needs/Supplies - Outreach,a0e61000003hqCZAAY-Outreach,true,false,false,false,false,false
0jiVY00000002AIYAY,BCAP Referral - Drop-In,a0e4M00000I79pBQAR-Drop-In,true,false,false,false,false,false
0jiVY00000002KbYAI,BCAP Referral - Outreach,a0e4M00000I79pBQAR-Outreach,true,false,false,false,false,false
0jiVY00000002ufYAA,Benefit Verification/ Enrollment,,true,false,false,false,false,false
0jiVY00000001paYAA,Budgeting and financial management-General support - 1440,a0e6100000Bsl4cAAB-1440,true,false,false,false,false,false
0jiVY00000001fEYAQ,Budgeting and financial management-General support - Chase,a0e6100000Bsl4cAAB-Chase,true,false,false,false,false,false
0jiVY00000002ALYAY,Budgeting and financial management-General support - Drop-In,a0e6100000Bsl4cAAB-Drop-In,true,false,false,false,false,false
0jiVY00000002jqYAA,Budgeting and financial management-General support - Nest 56,a0e6100000Bsl4cAAB-Nest 56,true,false,false,false,false,false
0jiVY00000002KeYAI,Budgeting and financial management-General support - Outreach,a0e6100000Bsl4cAAB-Outreach,true,false,false,false,false,false
0jiVY00000001tWYAQ,Budgeting and financial management-General support - Shelter,a0e6100000Bsl4cAAB-Shelter,true,false,false,false,false,false
0jiVY00000001KZYAY,Budgeting and financial management-General support - TLP,a0e6100000Bsl4cAAB-TLP,true,false,false,false,false,false
0jiVY00000001pbYAA,Case management activity with participant - 1440,a0e61000001GLpxAAG-1440,true,false,false,false,false,false
0jiVY00000001fFYAQ,Case management activity with participant - Chase,a0e61000001GLpxAAG-Chase,true,false,false,false,false,false
0jiVY00000002AMYAY,Case management activity with participant - Drop-In,a0e61000001GLpxAAG-Drop-In,true,false,false,false,false,false
0jiVY00000002jZYAQ,Case management activity with participant - Nest 56,a0e61000001GLpxAAG-Nest 56,true,false,false,false,false,false
0jiVY00000002KfYAI,Case management activity with participant - Outreach,a0e61000001GLpxAAG-Outreach,true,false,false,false,false,false
0jiVY00000001tXYAQ,Case management activity with participant - Shelter,a0e61000001GLpxAAG-Shelter,true,false,false,false,false,false
0jiVY00000001KaYAI,Case management activity with participant - TLP,a0e61000001GLpxAAG-TLP,true,false,false,false,false,false
0jiVY00000001pcYAA,Case management activity without participant present - 1440,a0e8X00000mHgzUQAS-1440,true,false,false,false,false,false
