Id,Name,ProcessType,UnitofMeasure.Name
0jhVY000000001dYAA,Case Management,ProgramManagement,Minutes
0jhVY000000001eYAA,Clinical Counseling,ProgramManagement,Minutes
0jhVY000000001fYAA,Education,ProgramManagement,Minutes
0jhVY000000001gYAA,Employment,ProgramManagement,Minutes
0jhVY000000001hYAA,Financial,ProgramManagement,Currency
0jhVY000000001iYAA,Group Counseling,ProgramManagement,Minutes
0jhVY000000001jYAA,Group Supportive,ProgramManagement,Minutes
0jhVY000000001kYAA,Housing,ProgramManagement,Nights
0jhVY000000001lYAA,Housing Navigation,ProgramManagement,Minutes
0jhVY000000001mYAA,Housing Stabilization Assistance,ProgramManagement,Minutes
0jhVY000000001nYAA,Peer Case Mgmt,ProgramManagement,Minutes
0jhVY000000001oYAA,Peer Clinical,ProgramManagement,Minutes
0jhVY000000001pYAA,Physical Health,ProgramManagement,Minutes
0jhVY000000001qYAA,Referral - Case,ProgramManagement,Sessions
0jhVY000000001rYAA,Referral - Clinical,ProgramManagement,Sessions
0jhVY000000001sYAA,Social/Emotional,ProgramManagement,Minutes
0jhVY000000001tYAA,Supplies,ProgramManagement,Items
0jhVY00000000pdYAA,Basic Needs,ProgramManagement,Kit
0jhVY00000000peYAA,Care Coordination,ProgramManagement,Case Mgmt Hour
0jhVY00000000pfYAA,Community Outing,ProgramManagement,Session
0jhVY00000000pgYAA,Diag BT,ProgramManagement,Diag UoM
0jhVY00000000phYAA,Education Referral,ProgramManagement,Session
0jhVY00000000piYAA,External Referral,ProgramManagement,Referral
0jhVY00000000pjYAA,Family Reunification,ProgramManagement,Case Mgmt Hour
0jhVY00000000pkYAA,Goal Setting,ProgramManagement,Session
0jhVY00000000plYAA,Group,ProgramManagement,Group Hour
0jhVY00000000pmYAA,Group Session,ProgramManagement,Session
0jhVY00000000pnYAA,Housing Support,ProgramManagement,Session
0jhVY00000000poYAA,Meal,ProgramManagement,Meal
0jhVY00000000ppYAA,Peer Support,ProgramManagement,Session
0jhVY00000000pqYAA,Physical Health Referral,ProgramManagement,Session
0jhVY00000000prYAA,Police Intervention,ProgramManagement,Case Mgmt Hour
0jhVY00000000psYAA,Transportation Assistance,ProgramManagement,Pass
