Id,Name,ProgramId,IsActive
0jiVY00000001VsYAI,Group service-LGBTQ+ support - Nest56,11WVY000000GC3d2AG,false
0jiVY00000001WGYAY,Housing - Nest56,11WVY000000GC3d2AG,false
0jiVY00000001pMYAQ,Action plan created - 1440,11WVY000000GC6r2AG,false
0jiVY00000001pNYAQ,Actively seeking employment-Outcome - 1440,11WVY000000GC6r2AG,false
0jiVY00000001pOYAQ,Actively Using-Outcome - 1440,11WVY000000GC6r2AG,false
0jiVY00000001pPYAQ,After Care - 1440,11WVY000000GC6r2AG,false
0jiVY00000001pTYAQ,Apartment Hygiene - 1440,11WVY000000GC6r2AG,false
0jiVY00000001pUYAQ,Arrested-Outcome - 1440,11WVY000000GC6r2AG,false
0jiVY00000001pVYAQ,Attempt to contact participant - 1440,11WVY000000GC6r2AG,false
0jiVY00000001pWYAQ,Basic Needs/Supplies - 1440,11WVY000000GC6r2AG,false
0jiVY00000001pXYAQ,BCAP Referral - 1440,11WVY000000GC6r2AG,false
0jiVY00000001pYYAQ,Benefits - 1440,11WVY000000GC6r2AG,false
0jiVY00000001pZYAQ,Benefits: Level 3 - 1440,11WVY000000GC6r2AG,false
0jiVY00000001paYAA,Budgeting and financial management-General support - 1440,11WVY000000GC6r2AG,false
0jiVY00000001pbYAA,Case management activity with participant - 1440,11WVY000000GC6r2AG,false
0jiVY00000001pcYAA,Case management activity without participant present - 1440,11WVY000000GC6r2AG,false
0jiVY00000001pdYAA,CE Referral - 1440,11WVY000000GC6r2AG,false
0jiVY00000001peYAA,CHAFEE - 1440,11WVY000000GC6r2AG,false
0jiVY00000001pfYAA,Chase House-Free time - 1440,11WVY000000GC6r2AG,false
0jiVY00000001pgYAA,Clinical counseling-Family therapy - 1440,11WVY000000GC6r2AG,false
0jiVY00000001phYAA,Clinical counseling-Group substance use support - 1440,11WVY000000GC6r2AG,false
0jiVY00000001piYAA,Clinical counseling-Group therapy - 1440,11WVY000000GC6r2AG,false
0jiVY00000001pjYAA,Clinical counseling-Individual session - 1440,11WVY000000GC6r2AG,false
0jiVY00000001pkYAA,Clinical counseling-Mental health check-in - 1440,11WVY000000GC6r2AG,false
0jiVY00000001plYAA,Clinical Referral - 1440,11WVY000000GC6r2AG,false
0jiVY00000001pmYAA,Community Clean Up - 1440,11WVY000000GC6r2AG,false
0jiVY00000001pnYAA,Completed CE - 1440,11WVY000000GC6r2AG,false
0jiVY00000001ppYAA,Conflict resolution general support - 1440,11WVY000000GC6r2AG,false
0jiVY00000001pqYAA,Conflict resolution or mediation training (formal training) - 1440,11WVY000000GC6r2AG,false
0jiVY00000001psYAA,Continued School Engagement-Outcome - 1440,11WVY000000GC6r2AG,false
0jiVY00000001ptYAA,Cooking/meal preparation support - 1440,11WVY000000GC6r2AG,false
0jiVY00000001puYAA,Counseling-Career - 1440,11WVY000000GC6r2AG,false
0jiVY00000001pvYAA,Creative - 1440,11WVY000000GC6r2AG,false
0jiVY00000001pwYAA,Creative expression activity - 1440,11WVY000000GC6r2AG,false
0jiVY00000001pxYAA,Deacons Closet Referral - 1440,11WVY000000GC6r2AG,false
0jiVY00000001pyYAA,Dental Assistance - 1440,11WVY000000GC6r2AG,false
0jiVY00000001pzYAA,DHHS Referral - 1440,11WVY000000GC6r2AG,false
0jiVY00000001q0YAA,DI-Case Management - 1440,11WVY000000GC6r2AG,false
0jiVY00000001q1YAA,Drop-in Facility Use - 1440,11WVY000000GC6r2AG,false
0jiVY00000001q3YAA,E-Town - 1440,11WVY000000GC6r2AG,false
0jiVY00000001q5YAA,Education-GED tutoring or homework - 1440,11WVY000000GC6r2AG,false
0jiVY00000001q6YAA,Education-General support - 1440,11WVY000000GC6r2AG,false
0jiVY00000001q7YAA,Education: Level 3 - 1440,11WVY000000GC6r2AG,false
0jiVY00000001q8YAA,Emergency financial assistance provided - 1440,11WVY000000GC6r2AG,false
0jiVY00000001q9YAA,Employment-General support - 1440,11WVY000000GC6r2AG,false
0jiVY00000001qAYAQ,Employment-Job readiness training - 1440,11WVY000000GC6r2AG,false
0jiVY00000001qBYAQ,Employment-Job retention support - 1440,11WVY000000GC6r2AG,false
0jiVY00000001qCYAQ,Employment-Job search support - 1440,11WVY000000GC6r2AG,false
0jiVY00000001qDYAQ,Employment-Job skills training (job-specific skills) - 1440,11WVY000000GC6r2AG,false
0jiVY00000001qEYAQ,Employment: Level 3 - 1440,11WVY000000GC6r2AG,false
0jiVY00000001qFYAQ,Equine Therapy - 1440,11WVY000000GC6r2AG,false
0jiVY00000001qGYAQ,Equine therapy session - 1440,11WVY000000GC6r2AG,false
0jiVY00000001qHYAQ,ESA support - 1440,11WVY000000GC6r2AG,false
0jiVY00000001qIYAQ,Exited Housing - 1440,11WVY000000GC6r2AG,false
0jiVY00000001qJYAQ,Family Coaching - 1440,11WVY000000GC6r2AG,false
0jiVY00000001qKYAQ,Family Coaching Referral - 1440,11WVY000000GC6r2AG,false
0jiVY00000001qLYAQ,Family engagement general support (not clinical counseling) - 1440,11WVY000000GC6r2AG,false
0jiVY00000001qMYAQ,Financial Referral - 1440,11WVY000000GC6r2AG,false
0jiVY00000001qNYAQ,Financial: Level 3 - 1440,11WVY000000GC6r2AG,false
0jiVY00000001qPYAQ,GED/Education Class (2 hrs) - 1440,11WVY000000GC6r2AG,false
0jiVY00000001qSYAQ,Group - Basketball - 1440,11WVY000000GC6r2AG,false
0jiVY00000001qXYAQ,Group - Natural Highs - 1440,11WVY000000GC6r2AG,false
0jiVY00000001qYYAQ,Group - Self Exploration w/ Tattoos - 1440,11WVY000000GC6r2AG,false
0jiVY00000001qZYAQ,Group - Wacky Wild Wednesdays - 1440,11WVY000000GC6r2AG,false
0jiVY00000001qaYAA,Group - Writing Wednesday - 1440,11WVY000000GC6r2AG,false
0jiVY00000001qbYAA,Group service-BIPOC support - 1440,11WVY000000GC6r2AG,false
