"Name","ProgramId","BenefitTypeId","IsActive","BenefitStatus","CPT_Code__c","Default_Disbursement_Quantity__c","Default_Duration_c__c","Housing_Capacity__c","Is_a_Housing_Benefit__c","Spots_Currently_Filled__c","Available_for_Housing__c","Available_for_Program_Engagement__c","Available_for_Case_Management__c","Available_for_Clinical__c","Available_for_Peer__c","Lifecycle_State__c"
"BIPOC Support","11WVY000000GC6r2AG","0jhVY000000001sYAA","true","Active","H0038","1","60","","false","","true","false","true","true","true","Active"
"BIPOC Support","11WVY000000GC6r2AG","0jhVY000000001eYAA","false","Active","H0038","1","60","","false","","false","false","true","true","true","Replaced"
"BIPOC Support","11WVY000000GC3d2AG","0jhVY000000001eYAA","true","Active","H0038","1","60","","false","","false","false","true","true","true",""
"Bus pass","11WVY000000GC3d2AG","0jhVY00000000psYAA","true","Active","H0038","5","60","","false","","false","false","true","true","true",""
"Bus pass","11WVY000000GC6r2AG","0jhVY00000000psYAA","false","Active","H0038","5","","","false","","false","false","true","true","true","Replaced"
"Bus pass","11WVY000000GC6r2AG","0jhVY00000000psYAA","true","Active","H0038","1","","","false","","true","false","true","true","true","Active"
"Case Management Meeting","11WVY000000GC3d2AG","0jhVY000000001dYAA","false","Active","H0038","1","60","","false","","false","false","true","true","false",""
"Case Management Meeting","11WVY000000GC6r2AG","0jhVY000000001dYAA","false","Active","H0038","1","60","","false","","false","false","false","false","false",""
"Community Engagement","11WVY000000GC6r2AG","0jhVY00000000plYAA","true","Active","H0038","1","60","","false","","true","false","false","true","false","Active"
"Community Engagement","11WVY000000GC3d2AG","0jhVY00000000pfYAA","true","Active","H0038","4","60","","false","","false","false","false","true","false",""
"Community Engagement","11WVY000000GC6r2AG","0jhVY00000000pfYAA","false","Active","H0038","4","240","","false","","false","false","false","true","false","Replaced"
"Community Resource Navigation","11WVY000000GC3d2AG","0jhVY000000001sYAA","true","Active","H0038","1","60","","false","","false","false","true","false","true",""
"Community Resource Navigation","11WVY000000GC6r2AG","0jhVY000000001sYAA","false","Active","H0038","1","60","","false","","false","false","true","false","true","Replaced"
"Community Resource Navigation","11WVY000000GC6r2AG","0jhVY000000001dYAA","true","Active","H0038","1","60","","false","","true","false","true","false","true","Active"
"Conflict Resolution Support","11WVY000000GC6r2AG","0jhVY000000001sYAA","true","Active","H0038","1","60","","false","","true","false","true","true","true",""
"Conflict Resolution Support","11WVY000000GC3d2AG","0jhVY000000001sYAA","true","Active","H0038","1","60","","false","","false","false","true","true","true",""
"Education","11WVY000000GC3d2AG","0jhVY000000001fYAA","true","Active","H0038","1","60","","false","","false","false","true","false","false",""
"Education","11WVY000000GC6r2AG","0jhVY000000001fYAA","false","Active","H0038","1","60","","false","","false","false","true","false","false","Replaced"
"Education","11WVY000000GC6r2AG","0jhVY00000000piYAA","true","Active","H0038","1","","","false","","true","false","true","false","false","Active"
