"Id","IsActive","Available_for_Housing__c","Available_for_Program_Engagement__c","Available_for_Case_Management__c","Available_for_Clinical__c","Available_for_Peer__c","CPT_Code__c"
"0jiVY00000001KJYAY","false","false","false","false","false","false","H0038"
"0jiVY00000001KHYAY","false","false","false","false","false","false","H0038"
"0jiVY00000001fKYAQ","false","false","false","false","false","false","H0038"
"0jiVY00000001tcYAA","false","false","false","false","false","false","H0038"
"0jiVY00000001phYAA","false","false","false","false","false","false","H0038"
"0jiVY00000001fLYAQ","false","false","false","false","false","false","H0038"
"0jiVY00000002ASYAY","false","false","false","false","false","false","H0038"
"0jiVY00000002KlYAI","false","false","false","false","false","false","H0038"
"0jiVY00000001tdYAA","false","false","false","false","false","false","H0038"
"0jiVY00000001piYAA","false","false","false","false","false","false","H0038"
"0jiVY00000001fMYAQ","false","false","false","false","false","false","H0038"
"0jiVY00000002ATYAY","false","false","false","false","false","false","H0038"
"0jiVY00000002KmYAI","false","false","false","false","false","false","H0038"
"0jiVY00000001teYAA","false","false","false","false","false","false","H0038"
"0jiVY00000001KhYAI","false","false","false","false","false","false","H0038"
"0jiVY00000001pjYAA","false","false","false","false","false","false","H0038"
"0jiVY00000001fNYAQ","false","false","false","false","false","false","H0038"
"0jiVY00000002AUYAY","false","false","false","false","false","false","H0038"
"0jiVY00000002KnYAI","false","false","false","false","false","false","H0038"
"0jiVY00000001tfYAA","false","false","false","false","false","false","H0038"
"0jiVY00000001KiYAI","false","false","false","false","false","false","H0038"
"0jiVY00000001pkYAA","false","false","false","false","false","false","H0038"
"0jiVY00000001fOYAQ","false","false","false","false","false","false","H0038"
"0jiVY00000002AVYAY","false","false","false","false","false","false","H0038"
"0jiVY00000002KoYAI","false","false","false","false","false","false","H0038"
"0jiVY00000001tgYAA","false","false","false","false","false","false","H0038"
"0jiVY00000001KjYAI","false","false","false","false","false","false","H0038"
"0jiVY00000002KpYAI","false","false","false","false","false","false","H0038"
"0jiVY00000001pmYAA","false","false","false","false","false","false","H0038"
"0jiVY00000001tiYAA","false","false","false","false","false","false","H0038"
"0jiVY00000001qFYAQ","false","false","false","false","false","false","H0038"
"0jiVY000000020cYAA","false","false","false","false","false","false","H0038"
"0jiVY00000001riYAA","false","false","false","false","false","false","H0038"
"0jiVY00000002CPYAY","false","false","false","false","false","false","H0038"
"0jiVY00000002MiYAI","false","false","false","false","false","false","H0038"
"0jiVY0000000221YAA","false","false","false","false","false","false","H0038"
"0jiVY00000001MdYAI","false","false","false","false","false","false","H0038"
"0jiVY00000001rjYAA","false","false","false","false","false","false","H0038"
"0jiVY00000002CQYAY","false","false","false","false","false","false","H0038"
"0jiVY00000002MnYAI","false","false","false","false","false","false","H0038"
"0jiVY0000000222YAA","false","false","false","false","false","false","H0038"
"0jiVY00000002CUYAY","false","false","false","false","false","false","H0038"
"0jiVY00000002MrYAI","false","false","false","false","false","false","H0038"
"0jiVY00000001rvYAA","false","false","false","false","false","false","H0038"
"0jiVY000000022EYAQ","false","false","false","false","false","false","H0038"
"0jiVY00000001tHYAQ","false","false","false","false","false","false","H0038"
"0jiVY00000001pLYAQ","false","false","false","false","false","false","H0038"
"0jiVY00000002A6YAI","false","false","false","false","false","false","H0038"
"0jiVY00000001oFYAQ","false","false","false","false","false","false","H0038"
"0jiVY00000001sHYAQ","false","false","false","false","false","false","H0038"
"0jiVY00000002CyYAI","false","false","false","false","false","false","H0038"
"0jiVY00000002NLYAY","false","false","false","false","false","false","H0038"
"0jiVY000000022aYAA","false","false","false","false","false","false","H0038"
"0jiVY00000001sKYAQ","false","false","false","false","false","false","H0038"
"0jiVY00000002D1YAI","false","false","false","false","false","false","H0038"
"0jiVY000000022dYAA","false","false","false","false","false","false","H0038"
"0jiVY00000001NFYAY","false","false","false","false","false","false","H0038"
"0jiVY00000001sTYAQ","false","false","false","false","false","false","H0038"
"0jiVY00000001oXYAQ","false","false","false","false","false","false","H0038"
"0jiVY00000002JbYAI","false","false","false","false","false","false","H0038"
"0jiVY00000002NXYAY","false","false","false","false","false","false","H0038"
"0jiVY000000022mYAA","false","false","false","false","false","false","H0038"
"0jiVY00000001NOYAY","false","false","false","false","false","false","H0038"
