"Id","IsActive","Available_for_Housing__c","Available_for_Program_Engagement__c","Available_for_Case_Management__c","Available_for_Clinical__c","Available_for_Peer__c"
"0jiVY00000001pMYAQ","false","false","false","false","false","false"
"0jiVY00000001f0YAA","false","false","false","false","false","false"
"0jiVY00000002A7YAI","false","false","false","false","false","false"
"0jiVY00000002KQYAY","false","false","false","false","false","false"
"0jiVY00000001tIYAQ","false","false","false","false","false","false"
"0jiVY00000001KLYAY","false","false","false","false","false","false"
"0jiVY00000001pNYAQ","false","false","false","false","false","false"
"0jiVY00000001f1YAA","false","false","false","false","false","false"
"0jiVY00000002A8YAI","false","false","false","false","false","false"
"0jiVY00000002jkYAA","false","false","false","false","false","false"
"0jiVY00000002KRYAY","false","false","false","false","false","false"
"0jiVY00000001tJYAQ","false","false","false","false","false","false"
"0jiVY00000001KMYAY","false","false","false","false","false","false"
"0jiVY00000002KYYAY","false","false","false","false","false","false"
"0jiVY00000001pVYAQ","false","false","false","false","false","false"
"0jiVY00000001f9YAA","false","false","false","false","false","false"
"0jiVY00000002AGYAY","false","false","false","false","false","false"
"0jiVY00000002jjYAA","false","false","false","false","false","false"
"0jiVY00000002KZYAY","false","false","false","false","false","false"
"0jiVY00000001tRYAQ","false","false","false","false","false","false"
"0jiVY00000001KUYAY","false","false","false","false","false","false"
"0jiVY00000002KaYAI","false","false","false","false","false","false"
"0jiVY00000002AIYAY","false","false","false","false","false","false"
"0jiVY00000002KbYAI","false","false","false","false","false","false"
"0jiVY00000002ufYAA","false","false","false","false","false","false"
"0jiVY00000001paYAA","false","false","false","false","false","false"
"0jiVY00000001fEYAQ","false","false","false","false","false","false"
"0jiVY00000002ALYAY","false","false","false","false","false","false"
"0jiVY00000002jqYAA","false","false","false","false","false","false"
"0jiVY00000002KeYAI","false","false","false","false","false","false"
"0jiVY00000001tWYAQ","false","false","false","false","false","false"
"0jiVY00000001KZYAY","false","false","false","false","false","false"
"0jiVY00000001pbYAA","false","false","false","false","false","false"
"0jiVY00000001fFYAQ","false","false","false","false","false","false"
"0jiVY00000002AMYAY","false","false","false","false","false","false"
"0jiVY00000002jZYAQ","false","false","false","false","false","false"
"0jiVY00000002KfYAI","false","false","false","false","false","false"
"0jiVY00000001tXYAQ","false","false","false","false","false","false"
"0jiVY00000001KaYAI","false","false","false","false","false","false"
"0jiVY00000001pcYAA","false","false","false","false","false","false"
"0jiVY00000001fGYAQ","false","false","false","false","false","false"
"0jiVY00000002ANYAY","false","false","false","false","false","false"
"0jiVY00000002KgYAI","false","false","false","false","false","false"
"0jiVY00000001tYYAQ","false","false","false","false","false","false"
"0jiVY00000001KbYAI","false","false","false","false","false","false"
"0jiVY00000002AOYAY","false","false","false","false","false","false"
"0jiVY00000002KhYAI","false","false","false","false","false","false"
"0jiVY00000002APYAY","false","false","false","false","false","false"
"0jiVY00000001tbYAA","false","false","false","false","false","false"
"0jiVY00000001pfYAA","false","false","false","false","false","false"
"0jiVY00000001fJYAQ","false","false","false","false","false","false"
"0jiVY00000002AQYAY","false","false","false","false","false","false"
"0jiVY00000002KjYAI","false","false","false","false","false","false"
"0jiVY00000001KeYAI","false","false","false","false","false","false"
"0jiVY00000001KJYAY","false","false","false","false","false","false"
"0jiVY00000001KHYAY","false","false","false","false","false","false"
"0jiVY00000001fKYAQ","false","false","false","false","false","false"
"0jiVY00000001tcYAA","false","false","false","false","false","false"
"0jiVY00000001phYAA","false","false","false","false","false","false"
"0jiVY00000001fLYAQ","false","false","false","false","false","false"
"0jiVY00000002ASYAY","false","false","false","false","false","false"
"0jiVY00000002KlYAI","false","false","false","false","false","false"
"0jiVY00000001tdYAA","false","false","false","false","false","false"
"0jiVY00000001piYAA","false","false","false","false","false","false"
"0jiVY00000001fMYAQ","false","false","false","false","false","false"
"0jiVY00000002ATYAY","false","false","false","false","false","false"
"0jiVY00000002jSYAQ","false","false","false","false","false","false"
"0jiVY00000002KmYAI","false","false","false","false","false","false"
"0jiVY00000001teYAA","false","false","false","false","false","false"
"0jiVY00000001KhYAI","false","false","false","false","false","false"
"0jiVY00000001pjYAA","false","false","false","false","false","false"
"0jiVY00000001fNYAQ","false","false","false","false","false","false"
"0jiVY00000002AUYAY","false","false","false","false","false","false"
"0jiVY00000002jvYAA","false","false","false","false","false","false"
"0jiVY00000002KnYAI","false","false","false","false","false","false"
"0jiVY00000001tfYAA","false","false","false","false","false","false"
"0jiVY00000001KiYAI","false","false","false","false","false","false"
"0jiVY00000001pkYAA","false","false","false","false","false","false"
"0jiVY00000001fOYAQ","false","false","false","false","false","false"
"0jiVY00000002AVYAY","false","false","false","false","false","false"
"0jiVY00000002jfYAA","false","false","false","false","false","false"
"0jiVY00000002KoYAI","false","false","false","false","false","false"
"0jiVY00000001tgYAA","false","false","false","false","false","false"
"0jiVY00000001KjYAI","false","false","false","false","false","false"
"0jiVY00000002KpYAI","false","false","false","false","false","false"
"0jiVY00000003AnYAI","false","false","false","false","false","false"
"0jiVY00000001pmYAA","false","false","false","false","false","false"
"0jiVY00000001tiYAA","false","false","false","false","false","false"
"0jiVY00000002xtYAA","false","false","false","false","false","false"
"0jiVY000000035xYAA","false","false","false","false","false","false"
"0jiVY0000000318YAA","false","false","false","false","false","false"
"0jiVY00000002oDYAQ","false","false","false","false","false","false"
"0jiVY00000001ppYAA","false","false","false","false","false","false"
"0jiVY00000001fTYAQ","false","false","false","false","false","false"
"0jiVY00000002AaYAI","false","false","false","false","false","false"
"0jiVY00000002jxYAA","false","false","false","false","false","false"
"0jiVY00000002KtYAI","false","false","false","false","false","false"
"0jiVY000000020CYAQ","false","false","false","false","false","false"
"0jiVY00000001KoYAI","false","false","false","false","false","false"
"0jiVY00000001pqYAA","false","false","false","false","false","false"
"0jiVY00000001fUYAQ","false","false","false","false","false","false"
"0jiVY00000002AbYAI","false","false","false","false","false","false"
"0jiVY00000002KuYAI","false","false","false","false","false","false"
"0jiVY000000020DYAQ","false","false","false","false","false","false"
"0jiVY00000001KpYAI","false","false","false","false","false","false"
"0jiVY00000001ptYAA","false","false","false","false","false","false"
"0jiVY00000001fXYAQ","false","false","false","false","false","false"
"0jiVY00000002AeYAI","false","false","false","false","false","false"
"0jiVY00000002jyYAA","false","false","false","false","false","false"
"0jiVY00000002KxYAI","false","false","false","false","false","false"
"0jiVY000000020GYAQ","false","false","false","false","false","false"
"0jiVY00000001KsYAI","false","false","false","false","false","false"
"0jiVY00000002d2YAA","false","false","false","false","false","false"
"0jiVY00000002d7YAA","false","false","false","false","false","false"
"0jiVY00000002kGYAQ","false","false","false","false","false","false"
"0jiVY00000002czYAA","false","false","false","false","false","false"
"0jiVY00000002kBYAQ","false","false","false","false","false","false"
"0jiVY00000002AiYAI","false","false","false","false","false","false"
"0jiVY00000002L1YAI","false","false","false","false","false","false"
"0jiVY00000001q1YAA","false","false","false","false","false","false"
"0jiVY00000001ffYAA","false","false","false","false","false","false"
"0jiVY00000002AmYAI","false","false","false","false","false","false"
"0jiVY00000002L5YAI","false","false","false","false","false","false"
"0jiVY000000020OYAQ","false","false","false","false","false","false"
"0jiVY00000001L0YAI","false","false","false","false","false","false"
"0jiVY00000001fgYAA","false","false","false","false","false","false"
"0jiVY00000002AnYAI","false","false","false","false","false","false"
