"Name","NPSP_ID__c","UUID__c","ProgramId","BenefitTypeId","IsActive","BenefitStatus","CPT_Code__c","Default_Disbursement_Quantity__c","Default_Duration_c__c","Housing_Capacity__c","Is_a_Housing_Benefit__c","Spots_Currently_Filled__c","Available_for_Housing__c","Available_for_Program_Engagement__c","Available_for_Case_Management__c","Available_for_Clinical__c","Available_for_Peer__c","Lifecycle_State__c"
"BIPOC Support","","","11WVY000000GC6r2AG","0jhVY000000001sYAA","true","Active","","1","60","","false","","true","false","true","true","true","Active"
"BIPOC Support","","","11WVY000000GC6r2AG","0jhVY000000001eYAA","false","Active","","1","60","","false","","false","false","true","true","true","Replaced"
"BIPOC Support","","","11WVY000000GC3d2AG","0jhVY000000001eYAA","true","Active","","1","60","","false","","false","false","true","true","true",""
"Case Management Meeting","","","11WVY000000GC3d2AG","0jhVY000000001dYAA","false","Active","","1","60","","false","","false","false","true","true","false",""
"Case Management Meeting","","","11WVY000000GC6r2AG","0jhVY000000001dYAA","false","Active","","1","60","","false","","false","false","false","false","false",""
"Community Resource Navigation","","","11WVY000000GC3d2AG","0jhVY000000001sYAA","true","Active","","1","60","","false","","false","false","true","false","true",""
"Community Resource Navigation","","","11WVY000000GC6r2AG","0jhVY000000001sYAA","false","Active","","1","60","","false","","false","false","true","false","true","Replaced"
"Community Resource Navigation","","","11WVY000000GC6r2AG","0jhVY000000001dYAA","true","Active","","1","60","","false","","true","false","true","false","true","Active"
"Conflict Resolution Support","","","11WVY000000GC6r2AG","0jhVY000000001sYAA","true","Active","","1","60","","false","","true","false","true","true","true",""
"Conflict Resolution Support","","","11WVY000000GC3d2AG","0jhVY000000001sYAA","true","Active","","1","60","","false","","false","false","true","true","true",""
"Education","","","11WVY000000GC3d2AG","0jhVY000000001fYAA","true","Active","","1","60","","false","","false","false","true","false","false",""
"Education","","","11WVY000000GC6r2AG","0jhVY000000001fYAA","false","Active","","1","60","","false","","false","false","true","false","false","Replaced"
"Education Support","","","11WVY000000GC6r2AG","0jhVY000000001dYAA","true","Active","","1","60","","false","","true","false","true","false","false","Active"
"Education Support","","","11WVY000000GC3d2AG","0jhVY000000001fYAA","true","Active","","1","60","","false","","false","false","true","false","false",""
"Education Support","","","11WVY000000GC6r2AG","0jhVY000000001fYAA","false","Active","","1","60","","false","","false","false","true","false","false","Replaced"
"Emotional Processing","","","11WVY000000GC6r2AG","0jhVY000000001sYAA","true","Active","","1","60","","false","","true","false","true","true","true",""
"Emotional Processing","","","11WVY000000GC3d2AG","0jhVY000000001sYAA","true","Active","","1","60","","false","","false","false","true","true","true",""
"Employment Support","","","11WVY000000GC6r2AG","0jhVY000000001dYAA","true","Active","","1","60","","false","","true","false","true","false","true","Active"
"Employment Support","","","11WVY000000GC6r2AG","0jhVY000000001gYAA","false","Active","","1","60","","false","","false","false","true","false","true","Replaced"
"Employment Support","","","11WVY000000GC3d2AG","0jhVY000000001gYAA","true","Active","","1","60","","false","","false","false","true","false","true",""
"Eviction/ Mutual Rescission Support","","","11WVY000000GC6r2AG","0jhVY000000001lYAA","false","Active","","1","60","","false","","false","false","true","false","false","Replaced"
"Eviction/ Mutual Rescission Support","","","11WVY000000GC3d2AG","0jhVY000000001lYAA","true","Active","","1","60","","false","","false","false","true","false","false",""
"External Medical Provider","","","11WVY000000GC3d2AG","0jhVY000000001dYAA","true","Active","","1","60","","false","","false","false","true","false","false",""
"External Medical Provider","","","11WVY000000GC6r2AG","0jhVY000000001dYAA","false","Active","","1","60","","false","","false","false","true","false","false","Replaced"
"External Professional Team","","","11WVY000000GC3d2AG","0jhVY000000001dYAA","true","Active","","1","60","","false","","false","false","true","false","false",""
"External Professional Team","","","11WVY000000GC6r2AG","0jhVY000000001dYAA","false","Active","","1","60","","false","","false","false","true","false","false","Replaced"
"External Therapy Provider","","","11WVY000000GC6r2AG","0jhVY000000001dYAA","false","Active","","1","60","","false","","true","true","true","true","false","Replaced"
"External Therapy Provider","","","11WVY000000GC3d2AG","0jhVY000000001dYAA","true","Active","","1","60","","false","","false","false","true","true","false",""
"Family Reunification Support","","","11WVY000000GC6r2AG","0jhVY000000001sYAA","false","Active","","1","60","","false","","false","false","true","false","false","Replaced"
"Family Reunification Support","","","11WVY000000GC3d2AG","0jhVY000000001sYAA","true","Active","","1","60","","false","","false","false","true","false","false",""
"Financial Education and Navigation","","","11WVY000000GC3d2AG","0jhVY000000001fYAA","true","Active","","1","60","","false","","false","false","true","false","false",""
"Financial Education and Navigation","","","11WVY000000GC6r2AG","0jhVY000000001fYAA","false","Active","","1","60","","false","","false","false","true","false","false","Replaced"
"Financial Education and Navigation","","","11WVY000000GC6r2AG","0jhVY000000001dYAA","true","Active","","1","60","","false","","true","false","true","false","false","Active"
"GED Group","","","11WVY000000GC3d2AG","0jhVY000000001fYAA","true","Active","","1","60","","false","","false","false","true","true","true",""
"GED Group","","","11WVY000000GC6r2AG","0jhVY000000001fYAA","false","Active","","1","60","","false","","false","false","true","true","true","Replaced"
"Group Support","","","11WVY000000GC3d2AG","0jhVY000000001oYAA","true","Active","","1","60","","false","","false","false","false","true","false",""
"Group Support","","","11WVY000000GC6r2AG","0jhVY000000001oYAA","false","Active","","1","60","","false","","false","false","false","true","false","Replaced"
"Group Support","","","11WVY000000GC6r2AG","0jhVY000000001eYAA","true","Active","","1","60","","false","","true","false","false","true","false","Active"
"Housekeeping","","","11WVY000000GC3d2AG","0jhVY000000001lYAA","true","Active","","1","60","","false","","false","false","true","false","true",""
"Housekeeping","","","11WVY000000GC6r2AG","0jhVY000000001lYAA","false","Active","","1","60","","false","","false","false","true","false","true","Replaced"
"Housing","","","11WVY000000GC6r2AG","0jhVY000000001kYAA","true","Active","","1","","42","true","0","true","true","true","true","true",""
"Housing","","","11WVY000000GC3d2AG","0jhVY000000001kYAA","true","Active","","1","","56","true","0","false","false","true","true","true",""
"Individual Session","","","11WVY000000GC3d2AG","0jhVY000000001eYAA","true","Active","","1","240","","false","","false","false","false","true","false",""
"Individual Session","","","11WVY000000GC6r2AG","0jhVY000000001eYAA","true","Active","","1","60","","false","","true","false","false","true","false",""
