Id,Name,NPSP_ID__c,SWSHE_Service__c
0jhVY000000001dYAA,Case Management,,
0jhVY000000001eYAA,Clinical Counseling,,
0jhVY000000001fYAA,Education,,
0jhVY000000001gYAA,Employment,,
0jhVY000000001hYAA,Financial,,
0jhVY000000001iYAA,Group Counseling,,
0jhVY000000001jYAA,Group Supportive,,
0jhVY000000001kYAA,Housing,,
0jhVY000000001lYAA,Housing Navigation,,
0jhVY000000001mYAA,Housing Stabilization Assistance,,
0jhVY000000001nYAA,Peer Case Mgmt,,
0jhVY000000001oYAA,Peer Clinical,,
0jhVY000000001pYAA,Physical Health,,
0jhVY000000001qYAA,Referral - Case,,
0jhVY000000001rYAA,Referral - Clinical,,
0jhVY000000001sYAA,Social/Emotional,,
0jhVY000000001tYAA,Supplies,,
