"Id","Available_for_Clinical__c","Available_for_Peer__c","Available_for_Case_Management__c"
"0jiVY0000000421YAA","true","false","true"
"0jiVY0000000422YAA","true","false","true"
"0jiVY0000000423YAA","true","false","true"
"0jiVY0000000424YAA","false","false","false"
"0jiVY000000048TYAQ","true","false","false"
"0jiVY000000048UYAQ","true","true","true"
"0jiVY000000048VYAQ","true","true","true"
"0jiVY000000048WYAQ","false","false","true"
"0jiVY000000048XYAQ","false","false","true"
"0jiVY000000048YYAQ","true","true","true"
"0jiVY000000048ZYAQ","true","true","true"
"0jiVY000000048aYAA","false","false","false"
"0jiVY000000048bYAA","false","false","true"
"0jiVY000000048cYAA","true","true","true"
"0jiVY000000048dYAA","true","true","true"
"0jiVY000000048eYAA","false","true","true"
"0jiVY000000048fYAA","true","true","true"
"0jiVY000000048gYAA","false","true","true"
"0jiVY000000048hYAA","false","false","true"
"0jiVY000000048iYAA","true","true","true"
"0jiVY000000048jYAA","false","true","true"
"0jiVY000000048kYAA","true","false","false"
"0jiVY000000048lYAA","false","false","true"
"0jiVY000000048mYAA","true","true","true"
"0jiVY000000048nYAA","false","false","true"
"0jiVY000000048oYAA","true","true","true"
"0jiVY000000048pYAA","true","false","true"
"0jiVY000000048qYAA","false","false","true"
"0jiVY000000048rYAA","true","true","true"
"0jiVY000000048sYAA","false","false","true"
"0jiVY000000048tYAA","true","false","false"
"0jiVY000000048uYAA","false","false","true"
"0jiVY000000048vYAA","false","false","true"
"0jiVY000000048wYAA","true","true","true"
"0jiVY000000048xYAA","false","true","true"
"0jiVY000000048yYAA","false","true","false"
"0jiVY000000048zYAA","false","false","true"
"0jiVY0000000490YAA","true","true","true"
"0jiVY0000000491YAA","true","true","true"
"0jiVY0000000492YAA","false","false","true"
"0jiVY0000000493YAA","true","false","true"
"0jiVY0000000494YAA","false","false","false"
"0jiVY0000000495YAA","true","false","false"
"0jiVY0000000496YAA","true","true","true"
"0jiVY0000000497YAA","false","true","true"
"0jiVY0000000498YAA","false","false","true"
"0jiVY0000000499YAA","false","false","true"
"0jiVY000000049AYAQ","false","false","true"
"0jiVY000000049BYAQ","true","true","true"
"0jiVY000000049CYAQ","true","true","true"
"0jiVY000000049DYAQ","false","false","true"
"0jiVY000000049EYAQ","false","false","true"
"0jiVY000000049FYAQ","false","true","true"
"0jiVY000000049GYAQ","false","false","true"
"0jiVY000000049HYAQ","true","false","true"
"0jiVY000000049IYAQ","false","false","false"
"0jiVY000000049JYAQ","false","true","true"
"0jiVY000000049KYAQ","true","true","true"
"0jiVY000000049LYAQ","false","true","false"
"0jiVY000000049MYAQ","true","false","false"
"0jiVY000000049NYAQ","true","true","true"
