Id,UnitCode
0hEVY00000000012AA,Meals
0hEVY00000000022AA,Sessions
0hEVY00000000032AA,Nights
0hEVY00000000042AA,Hours
0hEVY00000000052AA,Currency
0hEVY00000000062AA,Unknown
0hEVY00000000072AA,Minutes
0hEVY00000000082AA,%
0hEVY000000001d2AA,1234567890
0hEVY00000000BJ2AY,Items
0hEVY00000002GL2AY,BED_NIGHT
0hEVY00000002GM2AY,CM_HOUR
0hEVY00000002GN2AY,COMPLETION
0hEVY00000002GO2AY,DIAG1777832676019
0hEVY00000002GP2AY,DROPIN_DAY
0hEVY00000002GQ2AY,ENCOUNTER
0hEVY00000002GR2AY,ENROLLMENT
0hEVY00000002GS2AY,GIFT_CARD
0hEVY00000002GT2AY,GROUP_HOUR
0hEVY00000002GU2AY,KIT
0hEVY00000002GV2AY,MEAL
0hEVY00000002GW2AY,MINUTE
0hEVY00000002GX2AY,PASS
0hEVY00000002GY2AY,REFERRAL
0hEVY00000002GZ2AY,SESSION
0hEVY00000002Ga2AI,VOUCHER
