Id,Name,NPSP_ID__c,UUID__c,ProgramId,Program.UUID__c,BenefitTypeId,BenefitType.NPSP_ID__c,IsActive,BenefitStatus,CPT_Code__c,Default_Disbursement_Quantity__c,Default_Duration_c__c,Housing_Capacity__c,Is_a_Housing_Benefit__c,Spots_Currently_Filled__c,Available_for_Housing__c,Available_for_Program_Engagement__c,Available_for_Case_Management__c,Available_for_Clinical__c,Available_for_Peer__c,Lifecycle_State__c
0jiRT0000000Y9lYAE,BIPOC Support,,,11WVY000000GC6r2AG,,0jhRT0000000PhcYAE,,true,Active,,1,60,,false,,true,false,true,true,true,Active
0jiRT0000000SdbYAE,BIPOC Support,,,11WVY000000GC6r2AG,,0jhRT0000000PhrYAE,,false,Active,,1,60,,false,,false,false,true,true,true,Replaced
0jiRT0000000SgGYAU,BIPOC Support,,,11WVY000000GC3d2AG,,0jhRT0000000PhrYAE,,true,Active,,1,60,,false,,false,false,true,true,true,
0jiRT0000000SgDYAU,Bus pass,,,11WVY000000GC3d2AG,,0jhRT0000000PhpYAE,,true,Active,,5,60,,false,,false,false,true,true,true,
0jiRT0000000SdYYAU,Bus pass,,,11WVY000000GC6r2AG,,0jhRT0000000PhpYAE,,false,Active,,5,,,false,,false,false,true,true,true,Replaced
0jiRT0000000Y9mYAE,Bus pass,,,11WVY000000GC6r2AG,,0jhRT0000000PhpYAE,,true,Active,,1,,,false,,true,false,true,true,true,Active
0jiRT0000000SfeYAE,Case Management Meeting,,,11WVY000000GC3d2AG,,0jhRT0000000PhdYAE,,false,Active,,1,60,,false,,false,false,true,true,false,
0jiRT0000000SdAYAU,Case Management Meeting,,,11WVY000000GC6r2AG,,0jhRT0000000PhdYAE,,false,Active,,1,60,,false,,false,false,false,false,false,
0jiRT0000000Y9nYAE,Community Engagement,,,11WVY000000GC6r2AG,,0jhRT0000000TTTYA2,,true,Active,,1,60,,false,,true,false,false,true,false,Active
0jiRT0000000SfxYAE,Community Engagement,,,11WVY000000GC3d2AG,,0jhRT0000000PhmYAE,,true,Active,,4,60,,false,,false,false,false,true,false,
0jiRT0000000SdsYAE,Community Engagement,,,11WVY000000GC6r2AG,,0jhRT0000000PhmYAE,,false,Active,,4,240,,false,,false,false,false,true,false,Replaced
0jiRT0000000SfdYAE,Community Resource Navigation,,,11WVY000000GC3d2AG,,0jhRT0000000PhcYAE,,true,Active,,1,60,,false,,false,false,true,false,true,
0jiRT0000000Sd9YAE,Community Resource Navigation,,,11WVY000000GC6r2AG,,0jhRT0000000PhcYAE,,false,Active,,1,60,,false,,false,false,true,false,true,Replaced
0jiRT0000000Y9oYAE,Community Resource Navigation,,,11WVY000000GC6r2AG,,0jhRT0000000PhdYAE,,true,Active,,1,60,,false,,true,false,true,false,true,Active
0jiRT0000000Sd7YAE,Conflict Resolution Support,,,11WVY000000GC6r2AG,,0jhRT0000000PhcYAE,,true,Active,,1,60,,false,,true,false,true,true,true,
0jiRT0000000SfbYAE,Conflict Resolution Support,,,11WVY000000GC3d2AG,,0jhRT0000000PhcYAE,,true,Active,,1,60,,false,,false,false,true,true,true,
0jiRT0000000UhFYAU,Crisis Intervention,,,11WRT0000017pV32AI,,0jhRT0000000PhdYAE,,true,Active,H2011,1,15,,false,,true,true,true,true,false,
0jiRT0000000ZXFYA2,Diag B,,,11WRT000001XPWv2AO,,0jhRT0000000YOHYA2,,true,Active,,,,,false,,false,false,false,false,false,Active
0jiRT0000000Y4vYAE,Drop-In Day,,,11WRT0000017pV32AI,,0jhRT0000000PhdYAE,,true,Active,,1,120,,false,,false,false,false,false,false,
0jiRT0000000SfkYAE,Education,,,11WVY000000GC3d2AG,,0jhRT0000000PhaYAE,,true,Active,,1,60,,false,,false,false,true,false,false,
0jiRT0000000SdGYAU,Education,,,11WVY000000GC6r2AG,,0jhRT0000000PhaYAE,,false,Active,,1,60,,false,,false,false,true,false,false,Replaced
0jiRT0000000Y9pYAE,Education,,,11WVY000000GC6r2AG,,0jhRT0000000TTRYA2,,true,Active,,1,,,false,,true,false,true,false,false,Active
0jiRT0000000Y9qYAE,Education Support,,,11WVY000000GC6r2AG,,0jhRT0000000PhdYAE,,true,Active,,1,60,,false,,true,false,true,false,false,Active
0jiRT0000000SfSYAU,Education Support,,,11WVY000000GC3d2AG,,0jhRT0000000PhaYAE,,true,Active,,1,60,,false,,false,false,true,false,false,
0jiRT0000000ScyYAE,Education Support,,,11WVY000000GC6r2AG,,0jhRT0000000PhaYAE,,false,Active,,1,60,,false,,false,false,true,false,false,Replaced
0jiRT0000000SdEYAU,"Emergency Service Coordination (STAR, Emergency Room/ Urgent Care support)",,,11WVY000000GC6r2AG,,0jhRT0000000PhqYAE,,false,Active,,1,60,,false,,false,false,true,true,true,Replaced
0jiRT0000000SfiYAE,"Emergency Service Coordination (STAR, Emergency Room/ Urgent Care support)",,,11WVY000000GC3d2AG,,0jhRT0000000PhqYAE,,true,Active,,1,60,,false,,false,false,true,true,true,
0jiRT0000000Y9rYAE,"Emergency Service Coordination (STAR, Emergency Room/ Urgent Care support)",,,11WVY000000GC6r2AG,,0jhRT0000000PhoYAE,,true,Active,,1,60,,false,,true,false,true,true,true,Active
