Id,Name,SWSHE_Service__c,ProcessType,UnitofMeasureId,UnitofMeasure.UnitCode
0jhRT0000000PheYAE,Basic Needs,,ProgramManagement,0hERT0000000ptt2AA,KIT
0jhRT0000000PhoYAE,Care Coordination,,ProgramManagement,0hERT0000000ptp2AA,CM_HOUR
0jhRT0000000PhdYAE,Case Management,,ProgramManagement,0hERT0000000ptp2AA,CM_HOUR
0jhRT0000000PhrYAE,Clinical Counseling,,ProgramManagement,0hERT0000000ptp2AA,CM_HOUR
0jhRT0000000PhmYAE,Community Outing,,ProgramManagement,0hERT0000000pto2AA,SESSION
0jhRT0000000YOHYA2,Diag BT,,ProgramManagement,0hERT00000011zl2AA,DIAG1777832676019
0jhRT0000000PhaYAE,Education,,ProgramManagement,0hERT0000000ptp2AA,CM_HOUR
0jhRT0000000PhhYAE,Education Referral,,ProgramManagement,0hERT0000000pto2AA,SESSION
0jhRT0000000PhbYAE,Employment,,ProgramManagement,0hERT0000000ptp2AA,CM_HOUR
0jhRT0000000TTRYA2,External Referral,,ProgramManagement,0hERT0000000pts2AA,REFERRAL
0jhRT0000000PhnYAE,Family Reunification,,ProgramManagement,0hERT0000000ptp2AA,CM_HOUR
0jhRT0000000PhkYAE,Goal Setting,,ProgramManagement,0hERT0000000pto2AA,SESSION
0jhRT0000000TTTYA2,Group,,ProgramManagement,0hERT0000000ptq2AA,GROUP_HOUR
0jhRT0000000PhlYAE,Group Session,,ProgramManagement,0hERT0000000pto2AA,SESSION
0jhRT0000000PhZYAU,Housing,,ProgramManagement,0hERT0000000ptm2AA,BED_NIGHT
0jhRT0000000PhjYAE,Housing Navigation,,ProgramManagement,0hERT0000000ptp2AA,CM_HOUR
0jhRT0000000TTUYA2,Housing Support,,ProgramManagement,0hERT0000000pto2AA,SESSION
0jhRT0000000PhfYAE,Meal,,ProgramManagement,0hERT0000000ptl2AA,MEAL
0jhRT0000000PhsYAE,Peer Clinical,,ProgramManagement,0hERT0000000ptp2AA,CM_HOUR
0jhRT0000000TTSYA2,Peer Support,,ProgramManagement,0hERT0000000pto2AA,SESSION
0jhRT0000000PhiYAE,Physical Health Referral,,ProgramManagement,0hERT0000000pto2AA,SESSION
0jhRT0000000PhqYAE,Police Intervention,,ProgramManagement,0hERT0000000ptp2AA,CM_HOUR
0jhRT0000000PhgYAE,Social/Emotional,,ProgramManagement,0hERT0000000pto2AA,SESSION
0jhRT0000000PhcYAE,Social/Emotional,,ProgramManagement,0hERT0000000ptp2AA,CM_HOUR
0jhRT0000000PhpYAE,Transportation Assistance,,ProgramManagement,0hERT0000000ptu2AA,PASS
