Id,Name,Type,UnitCode,Description
0hERT0000000ptm2AA,Bed Night,Number,BED_NIGHT,Bed Night
0hERT0000000ptp2AA,Case Mgmt Hour,Number,CM_HOUR,Case Mgmt Hour
0hERT0000000pty2AA,Completion,Number,COMPLETION,Completion
0hERT0000000ptz2AA,Currency,Currency,CURRENCY,Currency
0hERT00000011zl2AA,Diag UoM,Period,DIAG1777832676019,
0hERT0000000ptn2AA,Drop-in Day,Number,DROPIN_DAY,Drop?in Day
0hERT0000000tAz2AI,Encounter,Period,ENCOUNTER,
0hERT0000000ptx2AA,Enrollment,Number,ENROLLMENT,Enrollment
0hERT0000000ptv2AA,Gift Card,Number,GIFT_CARD,Gift Card
0hERT0000000ptq2AA,Group Hour,Number,GROUP_HOUR,Group Hour
0hERT0000000ptt2AA,Kit,Number,KIT,Kit
0hERT0000000ptl2AA,Meal,Number,MEAL,Meal
0hERT0000000ptr2AA,Minute,Number,MINUTE,Minute
0hERT0000000ptu2AA,Pass,Number,PASS,Pass
0hERT0000000pts2AA,Referral,Number,REFERRAL,Referral
0hERT0000000pto2AA,Session,Number,SESSION,Session
0hERT0000000ptw2AA,Voucher,Number,VOUCHER,Voucher
