Id,Name,ProgramId,Available_for_Clinical__c,Available_for_Peer__c,Available_for_Case_Management__c,IsActive
0jiRT0000000ScxYAE,Housing,11WVY000000GC6r2AG,true,true,true,true
0jiRT0000000Sd1YAE,Mental Health Support,11WVY000000GC6r2AG,true,true,true,true
0jiRT0000000Sd6YAE,Substance Use Support,11WVY000000GC6r2AG,true,false,false,true
0jiRT0000000Sd7YAE,Conflict Resolution Support,11WVY000000GC6r2AG,true,true,true,true
0jiRT0000000Sd8YAE,Emotional Processing,11WVY000000GC6r2AG,true,true,true,true
0jiRT0000000SdBYAU,Point Store Access,11WVY000000GC6r2AG,true,true,true,true
0jiRT0000000SdCYAU,Food Pantry Access - Onsite,11WVY000000GC6r2AG,true,true,true,true
0jiRT0000000SdeYAE,Individual Session,11WVY000000GC6r2AG,true,false,false,true
0jiRT0000000SdfYAE,Substance Use Support,11WVY000000GC6r2AG,true,false,false,true
0jiRT0000000SdwYAE,Physical/Mental Wellness - Community Outing,11WVY000000GC6r2AG,true,true,true,true
0jiRT0000000SdyYAE,Individual Support,11WVY000000GC6r2AG,true,true,true,true
0jiRT0000000SfRYAU,Housing,11WVY000000GC3d2AG,true,true,true,true
0jiRT0000000SfSYAU,Education Support,11WVY000000GC3d2AG,false,false,true,true
0jiRT0000000SfTYAU,Financial Education and Navigation,11WVY000000GC3d2AG,false,false,true,true
0jiRT0000000SfUYAU,Employment Support,11WVY000000GC3d2AG,false,true,true,true
0jiRT0000000SfVYAU,Mental Health Support,11WVY000000GC3d2AG,true,true,true,true
0jiRT0000000SfWYAU,Legal Support,11WVY000000GC3d2AG,false,true,true,true
0jiRT0000000SfXYAU,Public Benefits Support,11WVY000000GC3d2AG,false,false,true,true
0jiRT0000000SfYYAU,Vital Document Support,11WVY000000GC3d2AG,false,false,true,true
0jiRT0000000SfZYAU,Parenting Support,11WVY000000GC3d2AG,false,false,true,true
0jiRT0000000SfaYAE,Substance Use Support,11WVY000000GC3d2AG,true,false,false,true
0jiRT0000000SfbYAE,Conflict Resolution Support,11WVY000000GC3d2AG,true,true,true,true
0jiRT0000000SfcYAE,Emotional Processing,11WVY000000GC3d2AG,true,true,true,true
0jiRT0000000SfdYAE,Community Resource Navigation,11WVY000000GC3d2AG,false,true,true,true
0jiRT0000000SffYAE,Point Store Access,11WVY000000GC3d2AG,true,true,true,true
0jiRT0000000SfgYAE,Food Pantry Access - Onsite,11WVY000000GC3d2AG,true,true,true,true
0jiRT0000000SfiYAE,"Emergency Service Coordination (STAR, Emergency Room/ Urgent Care support)",11WVY000000GC3d2AG,true,true,true,true
0jiRT0000000SfjYAE,Mental Health,11WVY000000GC3d2AG,true,false,true,true
0jiRT0000000SfkYAE,Education,11WVY000000GC3d2AG,false,false,true,true
0jiRT0000000SflYAE,Physical Health,11WVY000000GC3d2AG,true,false,true,true
0jiRT0000000SfmYAE,Other supports,11WVY000000GC3d2AG,false,false,true,true
0jiRT0000000SfnYAE,Pre-Lease Violation Support,11WVY000000GC3d2AG,true,true,true,true
0jiRT0000000SfoYAE,Lease Violation Meeting,11WVY000000GC3d2AG,false,false,true,true
0jiRT0000000SfpYAE,Tenant Retention Plan,11WVY000000GC3d2AG,false,false,true,true
0jiRT0000000SfqYAE,Rental Assistance with Budget,11WVY000000GC3d2AG,false,false,true,true
0jiRT0000000SfrYAE,Eviction/ Mutual Rescission Support,11WVY000000GC3d2AG,false,false,true,true
0jiRT0000000SfsYAE,Housekeeping,11WVY000000GC3d2AG,false,true,true,true
0jiRT0000000SftYAE,Voucher Support,11WVY000000GC3d2AG,false,false,true,true
0jiRT0000000SfuYAE,Move Out Assistance,11WVY000000GC3d2AG,false,false,true,true
0jiRT0000000SfvYAE,Initial Planning Meeting,11WVY000000GC3d2AG,false,true,true,true
0jiRT0000000SfwYAE,Updates and Progress,11WVY000000GC3d2AG,false,false,true,true
0jiRT0000000SfxYAE,Community Engagement,11WVY000000GC3d2AG,true,false,false,true
0jiRT0000000SfyYAE,Life Skills Group,11WVY000000GC3d2AG,true,true,true,true
0jiRT0000000SfzYAE,GED Group,11WVY000000GC3d2AG,true,true,true,true
0jiRT0000000Sg0YAE,"Wellness, Mental Health, Mindfulness and Meditation Group",11WVY000000GC3d2AG,true,true,true,true
0jiRT0000000Sg1YAE,Resident Advisory Council,11WVY000000GC3d2AG,true,true,true,true
0jiRT0000000Sg2YAE,Peer Support,11WVY000000GC3d2AG,false,true,false,true
