"Id","Available_for_Clinical__c","Available_for_Peer__c","Available_for_Case_Management__c"
"0jiRT0000000b7dYAA","true","true","true"
"0jiRT0000000b7eYAA","true","true","true"
"0jiRT0000000b7gYAA","true","false","false"
"0jiRT0000000b7hYAA","false","true","true"
"0jiRT0000000b7iYAA","true","true","true"
"0jiRT0000000b7jYAA","false","false","true"
"0jiRT0000000b7kYAA","false","false","true"
"0jiRT0000000b7lYAA","true","true","true"
"0jiRT0000000b7mYAA","true","true","true"
"0jiRT0000000b7nYAA","false","true","true"
"0jiRT0000000b7oYAA","false","false","true"
"0jiRT0000000b7pYAA","false","false","true"
"0jiRT0000000b7qYAA","false","false","true"
"0jiRT0000000b7rYAA","true","false","true"
"0jiRT0000000b7sYAA","false","false","true"
"0jiRT0000000b7tYAA","false","false","true"
"0jiRT0000000b7uYAA","false","true","true"
"0jiRT0000000b7vYAA","true","true","true"
"0jiRT0000000b7wYAA","true","true","true"
"0jiRT0000000b7xYAA","true","false","false"
"0jiRT0000000b7yYAA","false","true","true"
"0jiRT0000000b7zYAA","true","false","false"
"0jiRT0000000b80YAA","true","true","true"
"0jiRT0000000b81YAA","false","true","true"
"0jiRT0000000b82YAA","false","true","true"
"0jiRT0000000b83YAA","false","false","true"
"0jiRT0000000b84YAA","false","true","true"
"0jiRT0000000b85YAA","true","true","true"
"0jiRT0000000b86YAA","true","true","true"
"0jiRT0000000b88YAA","true","true","true"
"0jiRT0000000b89YAA","true","false","true"
"0jiRT0000000b8AYAQ","true","true","true"
"0jiRT0000000b8BYAQ","false","false","true"
"0jiRT0000000b8CYAQ","false","false","true"
"0jiRT0000000b8DYAQ","false","false","true"
"0jiRT0000000b8EYAQ","false","true","false"
"0jiRT0000000b8FYAQ","false","true","false"
"0jiRT0000000b8GYAQ","true","false","true"
"0jiRT0000000b8HYAQ","true","true","true"
"0jiRT0000000b8IYAQ","true","true","true"
"0jiRT0000000b8JYAQ","true","true","true"
"0jiRT0000000b8KYAQ","true","true","true"
"0jiRT0000000b8LYAQ","true","true","true"
"0jiRT0000000b8NYAQ","false","false","true"
"0jiRT0000000b8OYAQ","false","false","true"
"0jiRT0000000b8PYAQ","true","true","true"
"0jiRT0000000b8QYAQ","true","false","false"
"0jiRT0000000b8RYAQ","false","false","true"
"0jiRT0000000b8SYAQ","true","false","false"
"0jiRT0000000b8TYAQ","false","false","true"
"0jiRT0000000b8UYAQ","false","false","true"
"0jiRT0000000b8VYAQ","false","false","true"
"0jiRT0000000b8WYAQ","false","false","true"
"0jiRT0000000b8XYAQ","true","true","true"
