Name,InterviewTemplateVersion__c,Section__c,Order__c,API_Name__c,Label__c,Help_Text__c,Response_Type__c,Picklist_Values__c,Required__c,Sensitive__c,Score_Weight__c,Maps_To__c,UUID__c,Status__c,Question_Text__c,Version_Number__c,Validation_Rule__c,Visibility_Rules__c,Data_Binding__c,Protected__c,Compliance_Flags__c,Field_Set_Group__c,Allow_Carry_Forward__c,Requires_Review__c
a0oRT000002M5r7,a0xVY0000043QTVYA2,Housing History,1,Last_Permanent_Address_Type__c,Last Permanent Address Type,HMIS-compliant housing type for last permanent address,Picklist,"[""Foster care home or foster care group home"",""Jail, Prison or Other Juvenile Facility"",""Substance Abuse Treatment Facility or Detox Center"",""Residential project of halfway house with no homeless criteria"",""Owned by Client, No Housing Subsidy"",""Owned by Client, With Housing Subsidy"",""Rental by Client, with no ongoing housing subsidy"",""Rental by Client, with other ongoing housing subsidy"",""Staying or Living in a Family Member's Room, Apartment or House"",""Staying or Living in a Friend's Room, Apartment, or House"",""Permanent Housing for Formerly Homeless Persons"",""Transitional Housing for Homeless Persons (including homeless youth)"",""Client Doesn't Know"",""Client Refused"",""Data not collected""]",True,False,,Assessment__c.Last_Permanent_Address_Type__c,,,,,,,,False,,,False,False
a0oRT000002M5r8,a0xVY0000043QTVYA2,Housing History,2,Last_Perm_Address_Street__c,Last Permanent Address - Street,Street address of last permanent address,Text,,False,False,,Assessment__c.Last_Perm_Address_Street__c,,,,,,,,False,,,False,False
a0oRT000002M5r9,a0xVY0000043QTVYA2,Housing History,3,Last_Perm_Address_City__c,Last Permanent Address - City,City of last permanent address,Text,,False,False,,Assessment__c.Last_Perm_Address_City__c,,,,,,,,False,,,False,False
a0oRT000002M5rA,a0xVY0000043QTVYA2,Housing History,4,Last_Perm_Address_County__c,Last Permanent Address - County,County of last permanent address,Text,,False,False,,Assessment__c.Last_Perm_Address_County__c,,,,,,,,False,,,False,False
a0oRT000002M5rB,a0xVY0000043QTVYA2,Housing History,5,Last_Perm_Address_State__c,Last Permanent Address - State,State of last permanent address,Text,,False,False,,Assessment__c.Last_Perm_Address_State__c,,,,,,,,False,,,False,False
a0oRT000002M5rC,a0xVY0000043QTVYA2,Housing History,6,Last_Perm_Address_Zip__c,Last Permanent Address - Zip Code,Zip code of last permanent address,Text,,False,False,,Assessment__c.Last_Perm_Address_Zip__c,,,,,,,,False,,,False,False
a0oRT000002M5rD,a0xVY0000043QTVYA2,Housing History,7,Where_Stayed_Last_Night__c,Where Did You Stay Last Night?,HMIS-compliant residence type for current living situation,Picklist,"[""Place not meant for habitation (car, park, abandoned building, bus/train station)"",""Emergency shelter, including hotel/motel paid for with emergency shelter voucher"",""Safe Haven"",""Transitional housing for homeless persons"",""Hotel or motel paid for without ES voucher"",""Staying with family temporary tenure"",""Staying with friends temporary tenure"",""Rental by client - no subsidy"",""Rental by client - with subsidy"",""Owned by client - with subsidy"",""Owned by client - no subsidy"",""Institutional setting (jail, hospital, treatment)"",""Foster care home or group home"",""Residential project or halfway house"",""Client Does Not Know"",""Prefers Not to Answer"",""Data Not Collected""]",True,False,,Assessment__c.Where_Stayed_Last_Night__c,,,,,,,,False,,,False,False
a0oRT000002M5rE,a0xVY0000043QTVYA2,Housing History,8,Length_of_Stay_Prior_Situation__c,How Long Did You Stay There?,Length of time in prior living situation,Picklist,"[""One night or less"",""Two to six nights"",""One week or more, but less than one month"",""One month or more, but less than 90 days"",""90 days or more, but less than one year"",""One year or longer"",""Client Does Not Know"",""Prefers Not to Answer"",""Data Not Collected""]",False,False,,Assessment__c.Length_of_Stay_Prior_Situation__c,,,,,,,,False,,,False,False
a0oRT000002M5rF,a0xVY0000043QTVYA2,Housing History,9,Homelessness_Episode_Start_Date__c,When Did This Homelessness Episode Begin?,Date this current episode of homelessness began,Date,,False,False,,Assessment__c.Homelessness_Episode_Start_Date__c,,,,,,,,False,,,False,False
a0oRT000002M5rG,a0xVY0000043QTVYA2,Housing History,10,Times_Homeless_Past_3_Years__c,How Many Times Homeless in Past 3 Years?,Number of times experiencing homelessness in the past 3 years,Picklist,"[""One time"",""Two times"",""Three times"",""Four or more times"",""Client Does Not Know"",""Prefers Not to Answer"",""Data Not Collected""]",False,False,,Assessment__c.Times_Homeless_Past_3_Years__c,,,,,,,,False,,,False,False
a0oRT000002M5rH,a0xVY0000043QTVYA2,Housing History,11,Total_Months_Homeless_Past_3_Years__c,Total Months Homeless in Past 3 Years?,Total number of months homeless in the past 3 years (including current episode),Number,,False,False,,Assessment__c.Total_Months_Homeless_Past_3_Years__c,,,,,,,,False,,,False,False
a0oRT000002M5rI,a0xVY0000043QTVYA2,Housing History,12,Chronic_Homelessness_Qualifier__c,Meets Chronic Homelessness Criteria?,Does this person meet HUD chronic homelessness criteria?,Picklist,"[""Yes"",""No"",""Pending Verification"",""Client Does Not Know"",""Prefers Not to Answer"",""Data Not Collected""]",False,False,,Assessment__c.Chronic_Homelessness_Qualifier__c,,,,,,,,False,,,False,False
a0oRT000002M5rJ,a0xVY0000043QTVYA2,Contributing Factors,13,Contributing_Factors_to_Homelessness__c,What Factors Contributed to Your Homelessness?,Select all factors that contributed to becoming homeless,Picklist,"[""Sexual/Physical Abuse"",""Substance Use"",""Relationship Issues with Family"",""Aging Out of Foster Care"",""Family Could Not Afford Housing"",""Eviction"",""Job Loss/Unemployment"",""Lost Housing Assistance"",""Incarceration"",""Mental Health Issues"",""Physical Health Issues"",""Disability"",""Domestic Violence"",""Immigration Issues"",""LGBTQ+ Discrimination"",""Lack of Affordable Housing"",""Natural Disaster"",""Death of Family Member"",""Other""]",False,False,,Assessment__c.Contributing_Factors_to_Homelessness__c,,,,,,,,False,,,False,False
a0oRT000002M5rK,a0xVY0000043QTVYA2,Contributing Factors,14,Critical_Issues_Facing__c,What Are the Most Critical Issues You Are Facing?,Select all critical issues currently facing this person,Picklist,"[""Mental Health"",""Physical Disability"",""Developmental Disability"",""Chronic Health Condition"",""Substance Use Disorder"",""Unemployment"",""Domestic Violence"",""Legal Issues"",""Childcare"",""Transportation"",""Lack of Education/Training"",""Language Barriers"",""Credit/Debt Issues"",""Lack of Identification"",""Age-Related Challenges"",""Other""]",False,False,,Assessment__c.Critical_Issues_Facing__c,,,,,,,,False,,,False,False
a0oRT000002M5rL,a0xVY0000043QTVYA2,Domestic Violence,10,DV_Experience__c,Have You Experienced Domestic Violence?,"History of domestic violence, dating violence, sexual assault, or stalking",Picklist,"[""Yes"",""No"",""Client Does Not Know"",""Prefers Not to Answer"",""Data Not Collected""]",False,False,,Assessment__c.DV_Experience__c,,,,,,,,False,,,True,True
a0oRT000002M5rM,a0xVY0000043QTVYA2,Domestic Violence,11,DV_How_Long_Ago__c,How Long Ago Did the Violence Occur?,Timeframe of most recent domestic violence,Picklist,"[""Within the past 3 months"",""3 to 6 months ago"",""6 to 12 months ago"",""1 year or more ago"",""Client Does Not Know"",""Prefers Not to Answer""]",False,False,,Assessment__c.DV_How_Long_Ago__c,,,,,,,,False,,,False,False
a0oRT000002M5rN,a0xVY0000043QTVYA2,Domestic Violence,12,Currently_Fleeing_DV__c,Are You Currently Fleeing Domestic Violence?,Is this person currently fleeing domestic violence?,Picklist,"[""Yes"",""No"",""Client Does Not Know"",""Prefers Not to Answer"",""Data Not Collected""]",False,False,,Assessment__c.Currently_Fleeing_DV__c,,,,,,,,False,,,False,False
a0oRT000002M5rO,a0xVY0000043QTVYA2,Domestic Violence,13,DV_Safety_Concerns__c,Safety Concerns and Plan,Current safety concerns and safety planning needs,LongText,,False,False,,Assessment__c.DV_Safety_Concerns__c,,,,,,,,False,,,False,False
